순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79E+12,3810,813.7,4657
2,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,,9.79E+12,3810,813.7,2904
3,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,2,9.79E+12,3810,813.7,2716
4,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9.79E+12,3810,813.7,2694
5,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.79E+12,4840,843.6,2638
6,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9.79E+12,3810,813.62,2524
7,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.79E+12,4840,843.6,2466
8,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9.79E+12,44800,813.7,2396
9,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.79E+12,3810,813.7,2354
10,하얼빈 :김훈 장편소설 ,지은이: 김훈,문학동네,2022,,9.79E+12,3810,813.62,2338
11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79E+12,77810,810,2333
12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79E+12,77810,810,2310
13,아몬드손원평 장편소설,손원평,창비,2017,,9.79E+12,3810,813.7,2293
14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79E+12,77810,810,2273
15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79E+12,77810,810,2263
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79E+12,77810,810,2261
17,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,2,9.79E+12,3810,813.7,2259
18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79E+12,77810,810,2251
19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79E+12,77810,810,2238
20,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79E+12,77810,810,2181
21,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청 지음,웅진씽크빅,2022,,9.79E+12,3320,325.211,2112
22,책들의 부엌 :김지혜 장편소설 ,지은이: 김지혜,팩토리나인,2022,,9.79E+12,3810,813.7,2072
23,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79E+12,77810,810,2041
24,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79E+12,3810,813.7,2040
25,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,14,9.79E+12,74830,833.6,2023
26,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79E+12,77810,810,2018
27,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79E+12,3810,813.7,1954
28,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9.79E+12,3840,843.6,1943
29,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,10,9.79E+12,74830,833.6,1935
30,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,13,9.79E+12,74830,833.6,1931
31,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79E+12,74830,833.6,1926
32,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,12,9.79E+12,74830,833.6,1925
33,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.79E+12,74810,813.7,1887
34,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,15,9.79E+12,74830,833.6,1879
35,튜브 :손원평 장편소설 ,지은이: 손원평,창비,2022,,9.79E+12,3810,813.7,1853
36,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.79E+12,74810,813.7,1845
37,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79E+12,77400,400,1844
38,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,4,9.79E+12,77400,400,1829
39,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,,9.79E+12,3830,833.6,1828
40,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79E+12,77400,400,1820
41,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,1,9.79E+12,77400,400,1816
42,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79E+12,77400,400,1815
43,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.79E+12,74810,813.7,1810
