순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,,9.79E+12,3810,813.7,3590
2,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79E+12,3810,813.7,3469
3,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79E+12,3810,813.7,2817
4,아몬드손원평 장편소설,손원평,창비,2017,,9.79E+12,3810,813.7,2718
5,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,2,9.79E+12,3810,813.7,2714
6,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9.79E+12,3840,843.6,2600
7,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.79E+12,3810,813.7,2544
8,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79E+12,74830,833.6,2476
9,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,2,9.79E+12,74830,833.6,2361
10,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,3,9.79E+12,74830,833.6,2339
11,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9,9.79E+12,74830,833.6,2271
12,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,4,9.79E+12,74830,833.6,2256
13,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,11,9.79E+12,74830,833.6,2248
14,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,5,9.79E+12,74830,833.6,2244
15,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,6,9.79E+12,74830,833.6,2241
16,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,10,9.79E+12,74830,833.6,2239
17,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79E+12,3810,813.7,2231
18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79E+12,77810,810,2226
19,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,8,9.79E+12,74830,833.6,2224
20,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9,9.79E+12,74830,833.6,2202
21,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,7,9.79E+12,74830,833.6,2193
22,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.79E+12,4840,843.6,2191
23,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79E+12,77810,810,2186
24,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79E+12,77810,810,2182
25,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79E+12,77810,810,2177
26,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9.79E+12,3830,833.6,2174
27,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79E+12,77810,810,2166
28,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,,9.79E+12,3810,813.7,2164
29,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,10,9.79E+12,74830,833.6,2140
30,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79E+12,77810,810,2108
31,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.79E+12,74810,813.7,2082
32,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79E+12,77810,810,2080
33,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,12,9.79E+12,74830,833.6,2054
34,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7,9.79E+12,74830,833.6,2050
35,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,,9.79E+12,3810,813.7,2017
36,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79E+12,77810,810,2009
37,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,8,9.79E+12,74830,833.6,2006
38,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,3,9.79E+12,74810,813.7,1974
39,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.79E+12,74810,813.7,1955
40,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,2021,1,9.79E+12,3320,325.04,1949
41,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,2,9.79E+12,74830,833.6,1944
42,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.79E+12,4840,843.6,1926
43,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9.79E+12,3810,813.7,1924
44,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,3,9.79E+12,74830,833.6,1910
45,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,4,9.79E+12,74830,833.6,1902
46,어린이라는 세계 :김소영 에세이 ,지은이: 김소영,사계절(사계절출판사),2020,,9.79E+12,3810,818,1888
47,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,2017,5,9.79E+12,74830,833.8,1880
48,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,2021,2,9.79E+12,3320,325.04,1874
49,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,1,9.79E+12,74830,833.6,1872
50,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6,9.79E+12,74830,833.6,1847
51,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,1,9.79E+12,74910,911,1821
52,어떻게 말해줘야 할까 :오은영의 현실밀착 육아회화 ,글: 오은영 ;그림: 차상미,김영사,2020,,9.79E+12,13590,598.1,1806
53,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,,9.79E+12,3320,327.04,1793
54,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,,9.79E+12,3810,813.62,1763
55,당근 유치원 ,지은이: 안녕달,창비,2020,,9.79E+12,77810,813.7,1749
56,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79E+12,77400,400,1734
57,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,17,9.79E+12,74910,911,1725
58,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9.79E+12,77810,813.7,1699
59,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,2,9.79E+12,74910,911,1693
60,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79E+12,77400,400,1689
61,소크라테스 익스프레스 :철학이 우리 인생에 스며드는 순간 ,에릭 와이너 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2021,,9.79E+12,3100,102,1688
62,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,16,9.79E+12,74910,911,1683
63,(오은영의) 화해 :상처받은 내면의 나와 마주하는 용기 ,오은영 지음,대성,2019,,9.79E+12,3180,189.2,1671
64,바삭바삭 갈매기 ,전민걸 글·그림,한림출판사,2014,,9.79E+12,77810,813.7,1670
65,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,,9.79E+12,3830,833.6,1653
66,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,,9.79E+12,3810,813.7,1644
67,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9.79E+12,44800,813.7,1631
68,아홉 살 마음 사전 ,박성우 글 ;김효은 그림,창비,2017,,9.79E+12,73710,181,1618
69,백조와 박쥐 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2021,,9.79E+12,3830,833.6,1606
70,햇빛은 찬란하고 인생은 귀하니까요 :밀라논나 이야기 ,장명숙 지음,김영사,2021,,9.79E+12,3810,818,1598
71,(서울 자가에 대기업 다니는) 김 부장 이야기 ,송희구 지음,서삼독,2021,3,9.79E+12,3320,325.04,1596
72,숲속 100층짜리 집 ,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2021,,9.79E+12,74830,833.6,1593
73,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79E+12,77400,400,1592
74,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,3,9.79E+12,74910,911,1583
75,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.79E+12,74810,813.7,1578
76,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9,9.79E+12,74910,911,1575
77,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,1,9.79E+12,77400,400,1572
78,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,9.79E+12,,,1571
79,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,15,9.79E+12,74910,911,1569
80,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,14,9.79E+12,74910,911,1567
81,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,,9.79E+12,3810,813.7,1562
82,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,13,9.79E+12,74830,833.6,1559
83,긴긴밤 ,루리 글·그림,문학동네,2021,,9.79E+12,73810,813.7,1558
83,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,1,9.79E+12,74810,816.7,1558
85,이파라파냐무냐무 :이지은 그림책 ,글·그림: 이지은,사계절(사계절출판사),2020,,9.79E+12,77810,813.7,1544
86,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,2,9.79E+12,74810,816.7,1541
87,눈아이 :안녕달 그림책 ,지은이: 안녕달,창비,2021,,9.79E+12,77810,813.7,1538
88,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,12,9.79E+12,74910,911,1533
89,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,10,9.79E+12,74910,911,1524
90,설민석의 한국사 대모험 18 - 후삼국 편 : 온달의 기묘한 시간 여행,"설민석, 스토리박스 (지은이), 정현희 (그림), 강석화 (감수)",아이휴먼,2021,18,9.79E+12,,,1522
91,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,5,9.79E+12,74910,911,1513
92,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,4,9.79E+12,74910,911,1500
93,십 년 가게,히로시마 레이코 글 ;이소담 옮김,위즈덤하우스 미디어그룹,2020,1,9.79E+12,74830,833.6,1494
94,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,4,9.79E+12,77400,400,1489
95,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,,9.79E+12,3300,332.6,1488
96,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,9.79E+12,77700,710,1487
97,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,11,9.79E+12,74910,911,1484
98,(정재승의) 인간 탐구 보고서,"글: 정재은,그림: 김현민",북이십일,2019,7,9.79E+12,74400,511,1481
99,달까지 가자 :장류진 장편소설 ,지은이: 장류진,창비,2021,,9.79E+12,3810,813.7,1478
99,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,13,9.79E+12,74910,911,1478
101,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,,9.79E+12,3320,327.04,1475
102,세계를 건너 너에게 갈게 :이꽃님 장편소설 ,글쓴이: 이꽃님,문학동네,2018,,9.79E+12,3810,813.7,1462
103,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,2,9.79E+12,77400,400,1451
103,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,6,9.79E+12,74910,911,1451
105,(EBS) 당신의 문해력 :공부의 기초체력을 키워주는 힘 ,글: 김윤정,한국교육방송공사,2021,,9.79E+12,3370,373.4,1447
106,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,4,9.79E+12,77490,472,1427
107,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,7,9.79E+12,74910,911,1420
108,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8,9.79E+12,74910,911,1419
109,세금 내는 아이들 ,옥효진 글 ;김미연 그림,한경BP,2021,,9.79E+12,73320,327,1415
110,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,,9.79E+12,3810,813.7,1413
111,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,2,9.79E+12,77490,472,1412
112,비밀의 보석 가게 마석관,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2020,1,9.79E+12,74830,833.6,1400
113,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,3,9.79E+12,77490,472,1396
114,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9.79E+12,3900,909,1394
115,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,17,9.79E+12,74900,980.2,1391
116,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,1,9.79E+12,77490,472,1386
117,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9.79E+12,3810,813.7,1375
118,센 강의 이름 모를 여인 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2022,,9.79E+12,3860,863,1374
119,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,11,9.79E+12,74900,980.2,1373
120,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,50,9.79E+12,77720,711.4,1369
121,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,4,9.79E+12,74900,980.2,1368
122,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,10,9.79E+12,74900,980.2,1360
123,(정재승의) 인간 탐구 보고서,"글: 정재은,그림: 김현민",북이십일,2019,1,9.79E+12,74400,511,1356
124,(정재승의) 인간 탐구 보고서,"글: 정재은,그림: 김현민",북이십일,2019,2,9.79E+12,74400,511,1348
124,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,1,9.79E+12,74810,813.7,1348
126,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,3,9.79E+12,74900,980.2,1347
127,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,19,9.79E+12,74900,980.2,1345
128,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,3,9.79E+12,74810,816.7,1344
129,그러라 그래 :양희은 에세이 ,지은이: 양희은,김영사,2021,,9.79E+12,3810,818,1342
130,거꾸로 읽는 세계사 ,유시민 지음,돌베개,2021,,9.79E+12,3900,909,1340
131,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,3,9.79E+12,77700,710,1339
132,웰씽킹 =부를 창조하는 생각의 뿌리 /Wealthinking ,켈리 최 지음,다산북스,2021,,9.79E+12,3190,325.211,1335
133,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,1,9.79E+12,74900,980.2,1331
134,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,20,9.79E+12,74900,980.2,1329
135,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,2,9.79E+12,74900,980.2,1328
136,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,7,9.79E+12,74900,980.2,1324
137,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,1,9.79E+12,77810,691,1322
137,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,6,9.79E+12,77900,909,1322
139,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,13,9.79E+12,74900,980.2,1321
140,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,8,9.79E+12,74900,980.2,1318
141,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,,9.79E+12,3810,813.62,1317
142,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,5,9.79E+12,74900,980.2,1314
143,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,12,9.79E+12,74900,980.2,1313
144,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,18,9.79E+12,74900,980.2,1310
145,(정재승의) 인간 탐구 보고서,"글: 정재은,그림: 김현민",북이십일,2019,6,9.79E+12,74400,511,1309
146,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,8,9.79E+12,77900,909,1304
147,수학 잘하는 아이는 이렇게 공부합니다 :수학이 어려운 엄마를 위한 전략적 학습 로드맵 ,류승재 지음,블루무스,2021,,9.79E+12,3370,410.7,1302
148,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,11,9.79E+12,67400,408,1300
149,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,10,9.79E+12,77900,909,1299
150,(정재승의) 인간 탐구 보고서,"글: 정재은,그림: 김현민",북이십일,2019,3,9.79E+12,74400,511,1297
150,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,14,9.79E+12,74900,980.2,1297
152,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,6,9.79E+12,74900,980.2,1295
153,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,,9.79E+12,3400,490.99,1294
154,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,9,9.79E+12,77900,909,1293
