순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79E+12,3810,813.7,4897
2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,2,9.79E+12,3810,813.7,3198
3,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,,9.79E+12,3810,813.7,2929
4,하얼빈 :김훈 장편소설 ,지은이: 김훈,문학동네,2022,,9.79E+12,3810,813.62,2742
5,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9.79E+12,3810,813.7,2722
6,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.79E+12,4840,843.6,2585
7,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9.79E+12,3810,813.62,2478
8,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.79E+12,4840,843.6,2425
9,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.79E+12,3810,813.7,2316
10,아몬드손원평 장편소설,손원평,창비,2017,,9.79E+12,3810,813.7,2285
11,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9.79E+12,44800,813.7,2274
12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79E+12,77810,810,2227
13,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청 지음,웅진씽크빅,2022,,9.79E+12,3320,325.211,2224
14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79E+12,77810,810,2199
15,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,2,9.79E+12,3810,813.7,2194
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79E+12,77810,810,2172
17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79E+12,77810,810,2171
18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79E+12,77810,810,2166
19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79E+12,77810,810,2160
20,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79E+12,77810,810,2144
21,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79E+12,77810,810,2120
22,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79E+12,77810,810,2079
23,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,,9.79E+12,3810,813.7,2077
24,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79E+12,77810,810,2041
25,책들의 부엌 :김지혜 장편소설 ,지은이: 김지혜,팩토리나인,2022,,9.79E+12,3810,813.7,2015
26,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,15,9.79E+12,74830,833.6,1988
27,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79E+12,3810,813.7,1985
28,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,14,9.79E+12,74830,833.6,1965
