순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,아몬드손원평 장편소설,손원평,창비,2017,,9.78894E+12,3810,813.7,"1,957"
2,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9.78897E+12,3830,833.6,"1,929"
3,선량한 차별주의자 ,김지혜 지음,창비,2019,,9.78894E+12,3300,334,"1,892"
4,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,,9.78895E+12,3810,816.62,"1,860"
5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9,9.79116E+12,74830,833.6,"1,859"
6,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,8,9.79116E+12,74830,833.6,"1,779"
7,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7,9.79116E+12,74830,833.6,"1,777"
8,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,4,9.78894E+12,74830,833.6,"1,694"
9,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,2017,5,9.79116E+12,74830,833.8,"1,682"
10,체리새우 :황영미 장편소설 ,지은이: 황영미,문학동네,2019,,9.78895E+12,3810,813.7,"1,667"
11,수박 수영장 :안녕달 그림책 ,지은이: 안녕달,창비,2015,,9.78894E+12,77810,813.7,"1,662"
12,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,2,9.78894E+12,74830,833.6,"1,624"
13,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6,9.79116E+12,74830,833.6,"1,618"
14,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,3,9.78894E+12,74830,833.6,"1,612"
15,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,1,9.78894E+12,74830,833.6,"1,611"
16,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9.79119E+12,3810,813.7,"1,600"
17,더 해빙 =부와 행운을 끌어당기는 힘 /The having ,"이서윤,홍주연 지음",수오서재,2020,,9.79119E+12,3320,325.2113,"1,515"
18,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),2017,,9.789E+12,3830,833.6,"1,509"
