순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79E+12,3810,813.7,4946
2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,2,9.79E+12,3810,813.7,3483
3,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,,9.79E+12,3810,813.7,3025
4,하얼빈 :김훈 장편소설 ,지은이: 김훈,문학동네,2022,,9.79E+12,3810,813.62,2925
5,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,,9.79E+12,3810,813.7,2781
6,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9.79E+12,3810,813.7,2724
7,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,,9.79E+12,3810,813.62,2680
8,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.79E+12,4840,843.6,2573
9,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.79E+12,4840,843.6,2366
10,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청 지음,웅진씽크빅,2022,,9.79E+12,3320,325.211,2344
11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79E+12,77810,810,2303
12,아몬드손원평 장편소설,손원평,창비,2017,,9.79E+12,3810,813.7,2274
13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79E+12,77810,810,2255
14,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,2,9.79E+12,3810,813.7,2253
15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79E+12,77810,810,2219
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79E+12,77810,810,2212
17,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.79E+12,3810,813.7,2193
18,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,9.79E+12,77810,810,2191
19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79E+12,77810,810,2189
20,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9.79E+12,44800,813.7,2187
21,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,9.79E+12,77810,810,2184
22,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,9.79E+12,77810,810,2161
23,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,9.79E+12,77810,810,2131
24,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,9.79E+12,77810,810,2081
25,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,15,9.79E+12,74830,833.6,2050
26,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79E+12,3810,813.7,1993
27,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,14,9.79E+12,74830,833.6,1985
28,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,,9.79E+12,3400,490.99,1976
29,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9.79E+12,3840,843.6,1944
30,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,11,9.79E+12,77810,810,1934
31,책들의 부엌 :김지혜 장편소설 ,지은이: 김지혜,팩토리나인,2022,,9.79E+12,3810,813.7,1924
31,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,,9.79E+12,3830,833.6,1924
33,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.79E+12,74810,813.7,1887
33,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79E+12,74830,833.6,1887
35,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9.79E+12,3830,833.6,1878
36,세상의 마지막 기차역 ,무라세 다케시 지음 ;김지연 옮김,바이포엠 스튜디오,2022,,9.79E+12,3830,833.6,1873
37,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.79E+12,74810,813.7,1867
38,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,,9.79E+12,3320,327.04,1830
39,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79E+12,3810,813.7,1823
40,오싹오싹 크레용! ,글: 에런 레이놀즈 ;옮김: 홍연미,토토북,2022,,9.79E+12,77840,843,1818
41,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,2,9.79E+12,77400,400,1817
42,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79E+12,77400,400,1813
43,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,10,9.79E+12,74830,833.6,1806
44,흔한남매 과학 탐험대,원작: 흔한남매 ;그림: 김덕영,김영사,2021,1,9.79E+12,77400,400,1799
45,튜브 :손원평 장편소설 ,지은이: 손원평,창비,2022,,9.79E+12,3810,813.7,1796
46,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,13,9.79E+12,74830,833.6,1794
47,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79E+12,77400,400,1782
48,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79E+12,77400,400,1778
49,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,3,9.79E+12,74810,813.7,1773
50,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,4,9.79E+12,77400,400,1771
51,흔한남매 과학 탐험대 4 : 물질,"흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)",주니어김영사,2022,4,9.79E+12,,,1760
52,흔한남매 불꽃 튀는 우리말 1 - 초등 국어 고수 되기 프로젝트,흔한남매 (원작)|한은호,다산어린이,2021,1,9.79E+12,,,1752
53,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.79E+12,74810,813.7,1739
54,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,2,9.79E+12,74830,833.6,1734
55,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,5,9.79E+12,77400,400,1718
56,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,1,9.79E+12,74910,911,1710
57,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,9.79E+12,77700,710,1707
58,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,12,9.79E+12,74830,833.6,1703
59,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,3,9.79E+12,74830,833.6,1686
60,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,3,9.79E+12,74810,813.7,1654
61,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,3,9.79E+12,77700,710,1651
62,흔한남매 과학 탐험대 3 : 인체,"흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)",주니어김영사,2021,3,9.79E+12,,,1646
63,눈아이 :안녕달 그림책 ,지은이: 안녕달,창비,2021,,9.79E+12,77810,813.7,1639
64,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,,9.79E+12,3190,181.845,1628
65,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,9,9.79E+12,74830,833.6,1627
66,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,6,9.79E+12,77400,400,1626
67,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,11,9.79E+12,74830,833.6,1610
68,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ,비욘 나티코 린데블라드 지음 ;박미경 옮김,다산북스,2022,,9.79E+12,3100,220.4,1607
68,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,4,9.79E+12,74830,833.6,1607
70,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,,9.79E+12,3810,813.7,1593
71,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,2,9.79E+12,77490,472,1590
72,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,6,9.79E+12,77490,472,1588
73,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,4,9.79E+12,77490,472,1579
74,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,1,9.79E+12,74810,813.5,1578
75,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,10,9.79E+12,74830,833.6,1575
76,이어령의 마지막 수업 ,김지수 지음,열림원,2021,,9.79E+12,3100,199.1,1572
77,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7,9.79E+12,74830,833.6,1567
78,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,1,9.79E+12,74810,813.7,1564
79,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,5,9.79E+12,77490,472,1561
80,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,3,9.79E+12,77490,472,1558
81,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,5,9.79E+12,74830,833.6,1554
81,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,슈크림북,2021,2,9.79E+12,74810,813.7,1554
83,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9.79E+12,3900,909,1548
84,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,4,9.79E+12,77700,710,1546
85,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,,9.79E+12,3810,813.7,1531
85,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,21,9.79E+12,74910,911,1531
