순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,,9.79E+12,3810,813.7,4207
2,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,,9.79E+12,3810,813.7,3206
3,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,1,9.79E+12,4840,843.6,2805
4,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김,문학사상,2018,2,9.79E+12,4840,843.6,2589
5,아몬드손원평 장편소설,손원평,창비,2017,,9.79E+12,3810,813.7,2566
6,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,2,9.79E+12,3810,813.7,2539
7,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,,9.79E+12,3810,813.7,2468
8,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,,9.79E+12,3840,843.6,2396
9,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,,9.79E+12,3810,813.7,2325
10,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,,9.79E+12,3810,813.7,2320
11,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,1,9.79E+12,74830,833.6,2187
12,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,9.79E+12,77810,810,2139
13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79E+12,77810,810,2129
14,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,12,9.79E+12,74830,833.6,2122
15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,9.79E+12,77810,810,2107
16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79E+12,77810,810,2104
17,순례 주택 :유은실 소설 ,지은이: 유은실,비룡소,2021,,9.79E+12,44800,813.7,2100
17,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,,9.79E+12,3810,813.7,2100
19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79E+12,77810,810,2094
20,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,11,9.79E+12,74830,833.6,2073
21,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,10,9.79E+12,74830,833.6,2058
22,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,2,9.79E+12,74830,833.6,2055
23,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,3,9.79E+12,74830,833.6,2046
