순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","흔한남매 3","K782636924","9791164134267","77810","미래엔아이세움","흔한남매 원작, 백난도 글, 유난희 그림, 샌드박스 네트워크 감수","12,000","10,800","1,200","10%","600점","20200109","22394"
"2","국내도서","지적 대화를 위한 넓고 얕은 지식 : 제로 편","K622636607","9791190313131","03100","웨일북","채사장 지음","19,800","17,820","1,980","10%","990점","20191224","61240"
"3","국내도서","마도조사 4 박스판","K422636230","9791127853723","04820","B-Lab","묵향동후 지음, 이현아 옮김","18,500","16,650","1,850","10%","920점","20200113","3329"
"4","국내도서","추리 천재 엉덩이 탐정 9","K102636135","9791164134090","74830","미래엔아이세움","트롤 글.그림, 김정화 옮김","12,000","10,800","1,200","10%","600점","20200115","10412"
"5","국내도서","에이트","K702636286","9791188388905","03320","차이정원","이지성 지음","17,000","15,300","1,700","10%","850점","20191021","20460"
"6","국내도서","어느 날 공주가 되어버렸다 3 (종이 인형 책(128p) + 투명스티커 4종 + 안경닦이 + 엽서 + 박스 포함 한정판)","K802636332","9791129345615","04810","캐롯툰","스푼 지음, 플루토스 원작","36,000","32,400","3,600","10%","1,800점","20200304","3312"
"7","국내도서","117층 나무 집","8952744586","9788952744586","74840","시공주니어","앤디 그리피스 지음, 테리 덴톤 그림","14,000","12,600","1,400","10%","700점","20200110","10529"
"8","국내도서","스스로 행복하라","8946421150","9788946421158","03810","샘터사","법정 지음","12,000","10,800","1,200","10%","600점","20200106","6402"
"9","국내도서","설민석의 세계사 대모험 4","K942636037","9791196893118","77900","단꿈아이","설민석.잼 스토리 지음, 박성일 그림","12,000","10,800","1,200","10%","600점","20200113","6903"
"10","국내도서","나는 무조건 합격하는 공부만 한다","K162636917","9791162541210","03190","비즈니스북스","이윤규 지음","15,000","13,500","1,500","10%","750점","20191216","17519"
"11","국내도서","너와 함께라면 인생도 여행이다","K842636310","9791170400097","03810","열림원","나태주 지음","13,500","12,150","1,350","10%","670점","20191212","18821"
"12","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","234600"
"13","국내도서","1일 1페이지, 세상에서 가장 짧은 교양 수업 365","K692636898","9791190305679","03030","위즈덤하우스","데이비드 키더.노아 D. 오펜하임 지음, 허성심 옮김","16,000","14,400","1,600","10%","800점","20191030","21058"
"14","국내도서","코스모스","8983711892","9788983711892","03400","사이언스북스","칼 세이건 지음, 홍승수 옮김","19,900","17,910","1,990","10%","990점","20061220","132562"
"15","국내도서","우리가 빛의 속도로 갈 수 없다면","K462635914","9791190090018","03810","허블","김초엽 지음","14,000","12,600","1,400","10%","700점","20190624","67630"
"16","국내도서","마도조사 4 특별판","K402636230","9791127853730","04820","B-Lab","묵향동후 지음, 이현아 옮김","53,500","48,150","5,350","10%","2,670점","20200129","1755"
"17","국내도서","배움의 발견","8932919550","9788932919553","03840","열린책들","타라 웨스트오버 지음, 김희정 옮김","22,000","19,800","2,200","10%","1,100점","20200105","11113"
"18","국내도서","나 혼자만 레벨업 2","K132636334","9791191363029","07810","디앤씨웹툰비즈","장성락(REDICE STUDIO) 지음, 추공 원작","14,500","13,050","1,450","10%","720점","20200130","9502"
"19","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 고급(1.2급) 하","K942635010","9791164421107","13910","이투스북","최태성 지음","14,500","13,050","1,450","10%","720점","20190603","6707"
"20","국내도서","인간을 키우는 고양이","K432636124","9791196447182","03810","다독임북스","하하하(haha ha) 원작, 길막이와 삼색이 감수","15,000","13,500","1,500","10%","750점","20200108","4183"
