순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","더 해빙","K022637311","9791190382175","03320","수오서재","이서윤.홍주연 지음","16,000","14,400","1,600","10%","800점","20200301","25126"
"2","국내도서","돈의 속성","K562639753","9791188331796","03320","스노우폭스북스","김승호 지음","16,800","15,120","1,680","10%","840점","20200615","15764"
"3","국내도서","시선으로부터,","K852734218","9788954672214","03810","문학동네","정세랑 지음","14,000","12,600","1,400","10%","700점","20200605","44066"
"4","국내도서","애쓰지 않고 편안하게","K772639730","9791130629636","03810","놀(다산북스)","김수현 지음","15,000","13,500","1,500","10%","750점","20200515","10948"
"5","국내도서","보통의 언어들","K182639239","9791190786355","03810","위즈덤하우스","김이나 지음","14,500","13,050","1,450","10%","720점","20200527","18996"
"6","국내도서","설민석의 한국사 대모험 14","K742630570","9791165382674","74910","아이휴먼","설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수","12,000","10,800","1,200","10%","600점","20200708","11877"
"7","국내도서","흔한남매 5","K822630592","9791164135592","77810","미래엔아이세움","흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","12,000","10,800","1,200","10%","600점","20200629","19910"
"8","국내도서","2020 제11회 젊은작가상 수상작품집","8954671152","9788954671156","03810","문학동네","강화길 외 지음","5,500","4,950","550","10%","270점","20200408","16479"
"9","국내도서","원피스 96","K672630802","9791136233325","","대원씨아이(만화)","오다 에이치로 저자","5,000","4,500","500","10%","250점","20200623","9424"
"10","국내도서","룬의 아이들 - 데모닉 1~9 세트 - 전9권","895467187X","9788954671873","04810","엘릭시르","전민희 지음","131,000","117,900","13,100","10%","6,550점","20200610","3696"
"11","국내도서","지박소년 하나코 군 9","K982630596","9791130799537","","루트미디어","아이다이로 지음","5,500","4,950","550","10%","270점","20200629","3108"
"12","국내도서","화이트 호스","8954672221","9788954672221","03810","문학동네","강화길 지음","13,500","12,150","1,350","10%","670점","20200612","5153"
"13","국내도서","읽기만 하면 내 것이 되는 1페이지 한국사 365","K742630266","9791197035258","04900","비에이블","심용환 지음","16,500","14,850","1,650","10%","820점","20200617","6059"
"14","국내도서","최초의 신화 길가메쉬 서사시 (리커버 개정판)","K672639549","9791160803952","03910","휴머니스트","김산해 지음","30,000","27,000","3,000","10%","1,500점","20200601","12637"
"15","국내도서","코로나 이후의 세계","K382639512","9791158740757","03320","미디어숲","제이슨 솅커 지음, 박성현 옮김","14,800","13,320","1,480","10%","740점","20200530","6428"
"16","국내도서","소년이 온다 (특별한정판, 양장)","8936434411","9788936434410","03810","창비","한강 지음","13,000","11,700","1,300","10%","650점","20200427","89466"
"17","국내도서","철도원 삼대","8936434438","9788936434434","03810","창비","황석영 지음","20,000","18,000","2,000","10%","1,000점","20200601","4214"
"18","국내도서","김미경의 리부트","8901243660","9788901243665","03320","웅진지식하우스","김미경 지음","16,000","14,400","1,600","10%","800점","20200701","17933"
"19","국내도서","코로나 사피엔스","K302639540","9791189995898","03300","인플루엔셜(주)","최재천 외 지음","15,000","13,500","1,500","10%","750점","20200610","8685"
"20","국내도서","오래 준비해온 대답","K672639180","9791197021602","03810","복복서가","김영하 지음","16,500","14,850","1,650","10%","820점","20200429","14887"
"21","국내도서","코로나 투자 전쟁","K782639512","9791196831059","03320","페이지2(page2)","정채진 외 지음","16,800","15,120","1,680","10%","840점","20200525","3383"
"22","국내도서","이야기의 탄생","8965963834","9788965963837","03800","흐름출판","윌 스토 지음, 문희경 옮김","16,000","14,400","1,600","10%","800점","20200515","5488"
"23","국내도서","파타고니아, 파도가 칠 때는 서핑을","8998075717","9788998075712","03320","라이팅하우스","이본 쉬나드 지음, 이영래 옮김","19,800","17,820","1,980","10%","990점","20200430","13188"
"24","국내도서","까면서 보는 해부학 만화","K032630260","9791157844241","03400","한빛비즈","압듈라 지음, 신동선 감수","18,500","16,650","1,850","10%","920점","20200619","9678"
"25","국내도서","사람에 대한 예의","K452639540","9791190030519","03300","어크로스","권석천 지음","15,000","13,500","1,500","10%","750점","20200605","5009"
"26","국내도서","일곱 해의 마지막","8954672779","9788954672771","03810","문학동네","김연수 지음","13,500","12,150","1,350","10%","670점","20200701","8447"
"27","국내도서","푸름아빠 거울육아","8947545945","9788947545945","03590","한국경제신문","최희수 지음","16,800","15,120","1,680","10%","840점","20200603","4608"
"28","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","234600"
"29","국내도서","구멍가게, 오늘도 문 열었습니다","K372630067","9791185823584","03810","남해의봄날","이미경 지음","23,000","20,700","2,300","10%","1,150점","20200615","6913"
"30","국내도서","말하기를 말하기","K722838355","9788954672733","03810","콜라주","김하나 지음","13,000","11,700","1,300","10%","650점","20200630","4909"
"31","국내도서","당근 유치원","8936455486","9788936455484","77810","창비","안녕달 지음","13,000","11,700","1,300","10%","650점","20200522","18984"
"32","국내도서","죽은 자의 집 청소","8934992492","9788934992493","03810","김영사","김완 지음","13,800","12,420","1,380","10%","690점","20200530","14555"
"33","국내도서","달 너머로 달리는 말","K972639542","9791190052337","03810","파람북","김훈 지음","14,000","12,600","1,400","10%","700점","20200615","3745"
"34","국내도서","트래블러 아르헨티나","K372630570","9791197025600","03810","오렌지디","JTBC 트래블러 제작진 지음","19,500","17,550","1,950","10%","970점","20200617","2043"
"35","국내도서","내가 빛나는 순간","895444248X","9788954442480","03800","자음과모음","파울로 코엘료 지음, 윤예지 그림, 박태옥 옮김","13,500","12,150","1,350","10%","670점","20200528","3935"
"36","국내도서","언컨택트 Uncontact","K012639065","9791197016806","03320","퍼블리온","김용섭 지음","18,000","16,200","1,800","10%","900점","20200416","6738"
"37","국내도서","룬샷","8965963796","9788965963790","03320","흐름출판","사피 바칼 지음, 이지연 옮김","18,000","16,200","1,800","10%","900점","20200427","9936"
