순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","2020 제11회 젊은작가상 수상작품집","8954671152","9788954671156","03810","문학동네","강화길 외 지음","5,500","4,950","550","10%","270점","20200408","16479"
"2","국내도서","더 해빙","K022637311","9791190382175","03320","수오서재","이서윤.홍주연 지음","16,000","14,400","1,600","10%","800점","20200301","25126"
"3","국내도서","지리의 힘","8993178690","9788993178692","03300","사이","팀 마샬 지음, 김미선 옮김","20,000","18,000","2,000","10%","1,000점","20160810","50574"
"4","국내도서","어린 왕자 (리커버 특별판)","8932920184","9788932920184","03860","열린책들","앙투안 드 생텍쥐페리 지음, 황현산 옮김","10,800","9,720","1,080","10%","540점","20200324","9772"
"5","국내도서","흔한남매 4","K992638123","9791164134847","77810","미래엔아이세움","흔한남매 원작, 백난도 글, 유난희 그림, 샌드박스 네트워크 감수","12,000","10,800","1,200","10%","600점","20200326","19838"
"6","국내도서","날씨가 좋으면 찾아가겠어요 (드라마 방영 기념 한정판)","8952753941","9788952753946","04810","시공사","이도우 지음","13,800","12,420","1,380","10%","690점","20200201","12242"
"7","국내도서","밤은 이야기하기 좋은 시간이니까요","K342638834","9791190630955","03810","위즈덤하우스","이도우 지음","15,000","13,500","1,500","10%","750점","20200331","5826"
"8","국내도서","고양이 해결사 깜냥 1","8936447696","9788936447694","74810","창비","홍민정 지음, 김재희 그림","11,000","9,900","1,100","10%","550점","20200327","43534"
"9","국내도서","페스트","8937462672","9788937462672","04800","민음사","알베르 카뮈 지음, 김화영 옮김","14,000","12,600","1,400","10%","700점","20110325","33799"
"10","국내도서","설민석의 세계사 대모험 5","K832638340","9791196893132","77900","단꿈아이","설민석.잼 스토리 지음, 박성일 그림","12,000","10,800","1,200","10%","600점","20200415","6464"
"11","국내도서","타인의 해석","8934985747","9788934985747","03190","김영사","말콤 글래드웰 지음, 유강은 옮김, 김경일 감수","18,500","16,650","1,850","10%","920점","20200320","9889"
"12","국내도서","내일의 부 1 : 알파편","K232636430","9791187993681","03320","트러스트북스","김장섭 지음","16,000","14,400","1,600","10%","800점","20200116","7572"
