순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,그 해 우리는 1,8934952318,9.79E+12,4810,김영사,이나은 지음,"18,500","16,650","1,850",10%,920점,20220216,35659
2,국내도서,그리움은 아무에게나 생기지 않습니다,K802835034,9.79E+12,3300,가로세로연구소,박근혜 지음,"15,000","13,500","1,500",10%,750점,20211230,54159
3,국내도서,그 해 우리는 2,8934952326,9.79E+12,4810,김영사,이나은 지음,"18,500","16,650","1,850",10%,920점,20220216,35062
4,국내도서,불편한 편의점,K582730818,9.79E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,74908
5,국내도서,연이와 버들 도령,K132835758,9.79E+12,77810,책읽는곰,백희나 지음,"18,000","16,200","1,800",10%,900점,20220107,37254
6,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K682835821,9.79E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20211209,77538
7,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",K762835821,9.79E+12,13910,이투스북,최태성 지음,"14,500","13,050","1,450",10%,720점,20211209,70781
8,국내도서,지박소년 하나코 군 16 (특장판),K422835551,,,서울미디어코믹스(서울문화사),"아이다이로 지음, 장혜영 옮김","6,000","5,400",600,10%,300점,20220127,16100
9,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.79E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
10,국내도서,"굿바이, 이재명",8991622860,9.79E+12,3300,지우출판,장영하 지음,"15,000","13,500","1,500",10%,750점,20211224,32054
11,국내도서,명탐정 코난 100,K802836269,9.79E+12,,서울미디어코믹스(서울문화사),아오야마 고쇼 지음,"5,500","4,950",550,10%,270점,20220120,20606
12,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),891723853X,9.79E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,180570
13,국내도서,윤석열 X파일,K712836673,9.79E+12,3340,열린공감TV,열린공감TV 취재팀 지음,"16,000","14,400","1,600",10%,800점,20220204,36796
14,국내도서,물고기는 존재하지 않는다,K092835920,9.79E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,256226
15,국내도서,2022 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1.2.3급),K862835833,9.79E+12,13910,이투스북,최태성 지음,"19,500","17,550","1,950",10%,970점,20211221,31870
