순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","김미경의 리부트","8901243660","9788901243665","03320","웅진지식하우스","김미경 지음","16,000","14,400","1,600","10%","800점","20200701","17933"
"2","국내도서","돈의 속성","K562639753","9791188331796","03320","스노우폭스북스","김승호 지음","16,800","15,120","1,680","10%","840점","20200615","15764"
"3","국내도서","흔한남매 5","K822630592","9791164135592","77810","미래엔아이세움","흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","12,000","10,800","1,200","10%","600점","20200629","19910"
"4","국내도서","더 해빙","K022637311","9791190382175","03320","수오서재","이서윤.홍주연 지음","16,000","14,400","1,600","10%","800점","20200301","25126"
"5","국내도서","설민석의 한국사 대모험 14","K742630570","9791165382674","74910","아이휴먼","설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수","12,000","10,800","1,200","10%","600점","20200708","11877"
"6","국내도서","부의 대이동","K922631278","9791196831080","03320","페이지2(page2)","오건영 지음","17,000","15,300","1,700","10%","850점","20200723","15335"
"7","국내도서","시선으로부터,","K852734218","9788954672214","03810","문학동네","정세랑 지음","14,000","12,600","1,400","10%","700점","20200605","44066"
"8","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","234600"
"9","국내도서","김지은입니다","K812638583","9791189623036","03300","봄알람","김지은 지음","17,000","15,300","1,700","10%","850점","20200305","6874"
"10","국내도서","우리가 빛의 속도로 갈 수 없다면 (호크니 리커버 에디션)","K612630314","9791190090018","03810","허블","김초엽 지음","14,000","12,600","1,400","10%","700점","20190624","72492"
"11","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 상","K382636520","9791164421053","13910","이투스북","최태성 지음","14,500","13,050","1,450","10%","720점","20191231","16400"
"12","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 하","K402636045","9791164421114","13910","이투스북","최태성 지음","14,500","13,050","1,450","10%","720점","20200131","14897"
"13","국내도서","일곱 해의 마지막","8954672779","9788954672771","03810","문학동네","김연수 지음","13,500","12,150","1,350","10%","670점","20200701","8447"
"14","국내도서","애쓰지 않고 편안하게","K772639730","9791130629636","03810","놀(다산북스)","김수현 지음","15,000","13,500","1,500","10%","750점","20200515","10948"
"15","국내도서","읽기만 하면 내 것이 되는 1페이지 한국사 365","K742630266","9791197035258","04900","비에이블","심용환 지음","16,500","14,850","1,650","10%","820점","20200617","6059"
"16","국내도서","하이큐!! 42","K942630133","9791136235275","","대원씨아이(만화)","후루다테 하루이치 지음","5,000","4,500","500","10%","250점","20200707","6159"
"17","국내도서","스토너 (초판본, 양장)","8925538296","9788925538297","03840","알에이치코리아(RHK)","존 윌리엄스 지음, 김승욱 옮김","15,000","13,500","1,500","10%","750점","20200624","20826"
"18","국내도서","이상한 과자 가게 전천당 7","K412630313","9791164062270","74830","길벗스쿨","히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200","10%","600점","20200713","10957"
"19","국내도서","연의 편지 (어나더커버 특별판, 양장)","K222631397","9791196155773","07650","손봄북스","조현아 지음","18,000","16,200","1,800","10%","900점","20200720","24745"
"20","국내도서","악몽을 먹고 자란 소년","K472630418","9791190908153","03810","위즈덤하우스","조용 지음, 잠산 그림","12,000","10,800","1,200","10%","600점","20200720","7156"
"21","국내도서","지박소년 하나코 군 10","K992631591","9791130799582","","루트미디어","아이다이로 지음","5,500","4,950","550","10%","270점","20200730","3002"
"22","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩)","8917232191","9788917232196","14740","(주)YBM(와이비엠)","ETS 엮음","17,800","16,020","1,780","10%","890점","20191216","61720"
"23","국내도서","방구석 미술관","K042732197","9788968331862","03600","블랙피쉬","조원재 지음","16,800","15,120","1,680","10%","840점","20180803","53796"
"24","국내도서","좀비 아이","K422630418","9791190908160","03810","위즈덤하우스","조용 지음, 잠산 그림","12,000","10,800","1,200","10%","600점","20200713","6009"
"25","국내도서","보통의 언어들","K182639239","9791190786355","03810","위즈덤하우스","김이나 지음","14,500","13,050","1,450","10%","720점","20200527","18996"
"26","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝)","8917232183","9788917232189","13740","(주)YBM(와이비엠)","ETS 엮음","17,800","16,020","1,780","10%","890점","20191216","56130"
"27","국내도서","딸기 봉봉","K962631720","8809477872316","1","스마트베어","오수아 지음, 책마중 그림","16,000","12,800","3,200","20%","0점","20200801","5747"
"28","국내도서","끝없는 이야기 (리커버 특별판)","8949140063","9788949140063","73850","비룡소","미하엘 엔데 지음, 로즈비타 콰드플리크 그림, 허수경 옮김","20,000","18,000","2,000","10%","1,000점","20200518","3868"
"29","국내도서","존리의 부자되기 습관 (리커버)","K302631896","9791187481720","13320","지식노마드","존 리 지음","15,000","13,500","1,500","10%","750점","20200723","4430"
"30","국내도서","이제부터는 오를 곳만 오른다","K072630317","9791196831073","03320","페이지2(page2)","김학렬 지음","22,000","19,800","2,200","10%","1,100점","20200713","2401"
"31","국내도서","까면서 보는 해부학 만화","K032630260","9791157844241","03400","한빛비즈","압듈라 지음, 신동선 감수","18,500","16,650","1,850","10%","920점","20200619","9678"
"32","국내도서","말하기를 말하기","K722838355","9788954672733","03810","콜라주","김하나 지음","13,000","11,700","1,300","10%","650점","20200630","4909"
"33","국내도서","기억 1","8932920338","9788932920337","","열린책들","베르나르 베르베르 지음, 전미연 옮김","16,800","15,120","1,680","10%","840점","20200530","10775"
"34","국내도서","기억 2","8932920346","9788932920344","","열린책들","베르나르 베르베르 지음, 전미연 옮김","16,800","15,120","1,680","10%","840점","20200624","10112"
"35","국내도서","2020 에듀윌 한국사 능력 검정시험 2주끝장 심화(1, 2, 3급)","K002638324","9791136004482","13910","에듀윌","에듀윌 한국사교육연구소 지음","21,000","18,900","2,100","10%","1,050점","20200325","7182"
"36","국내도서","기분이 태도가 되지 않게","8901243652","9788901243658","03180","갤리온","레몬심리 지음, 박영란 옮김","14,000","12,600","1,400","10%","700점","20200630","20207"
"37","국내도서","여름의 빌라","8954673104","9788954673105","03810","문학동네","백수린 지음","14,800","13,320","1,480","10%","740점","20200707","16064"
"38","국내도서","오버로드 14","K422631897","9791165247560","04830","영상출판미디어(주)","마루야마 쿠가네 지음, 김완 옮김, so-bin 그림","12,000","10,800","1,200","10%","600점","20200801","5319"
"39","국내도서","Go Go 카카오프렌즈 15 : 브라질","8950989069","9788950989064","74900","아울북","김미영 지음, 김정한 그림","14,800","13,320","1,480","10%","740점","20200722","5539"
"40","국내도서","킵고잉 Keep Going","8950988488","9788950988487","03320","21세기북스","주언규(신사임당) 지음","18,800","16,920","1,880","10%","940점","20200722","5946"
"41","국내도서","놓지 마 과학! 14","K312631684","9791190908184","67400","위즈덤하우스","신태훈.나승훈 글.그림, 류진숙 감수","12,000","10,800","1,200","10%","600점","20200714","4766"
"42","국내도서","해커스 토익 RC 리딩 READING","8965423341","9788965423348","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","18,800","16,920","1,880","10%","940점","20200102","42034"
"43","국내도서","죽은 자의 집 청소","8934992492","9788934992493","03810","김영사","김완 지음","13,800","12,420","1,380","10%","690점","20200530","14555"
"44","국내도서","나는 말하듯이 쓴다","K062630595","9791190786867","03800","위즈덤하우스","강원국 지음","16,000","14,400","1,600","10%","800점","20200618","4823"
"45","국내도서","장군이네 떡집","8949162040","9788949162041","74800","비룡소","김리리 지음, 이승현 그림","11,000","9,900","1,100","10%","550점","20200429","32488"
"46","국내도서","귀멸의 칼날 19","K762631685","9791134860615","","학산문화사(만화)","고토게 코요하루 지음","5,000","4,500","500","10%","250점","20200716","11708"
"47","국내도서","인생의 태도","K742630674","9791165211653","03190","더퀘스트","웨인 다이어 지음, 이한이 옮김","16,000","14,400","1,600","10%","800점","20200619","5606"
"48","국내도서","원피스 96","K672630802","9791136233325","","대원씨아이(만화)","오다 에이치로 저자","5,000","4,500","500","10%","250점","20200623","9424"
"49","국내도서","최초의 신화 길가메쉬 서사시 (리커버 개정판)","K672639549","9791160803952","03910","휴머니스트","김산해 지음","30,000","27,000","3,000","10%","1,500점","20200601","12637"
"50","국내도서","DK 수학의 핵심","8949152940","9788949152943","74410","비룡소","DK 『수학의 핵심』 편집위원회 지음, 이현주 옮김","22,000","19,800","2,200","10%","1,100점","20200720","2384"
"51","국내도서","사이코지만 괜찮아 1","8931589840","9788931589849","04810","호우야","조용 지음, 잠산 그림","16,800","15,120","1,680","10%","840점","20200727","3467"
"52","국내도서","2021 전한길 한국사 합격생 필기노트 (10쇄)","K422631618","9791197133503","13910","전한길한국사","전한길 지음","14,000","12,600","1,400","10%","700점","20210210","8850"
"53","국내도서","공간이 만든 공간","8932474273","9788932474274","03540","을유문화사","유현준 지음","16,500","14,850","1,650","10%","820점","20200430","16407"
"54","국내도서","화이트 호스","8954672221","9788954672221","03810","문학동네","강화길 지음","13,500","12,150","1,350","10%","670점","20200612","5153"
"55","국내도서","설민석의 세계사 대모험 6","K622631613","9791196893170","77900","단꿈아이","설민석.잼 스토리 지음, 박성일 그림","12,000","10,800","1,200","10%","600점","20200815","6496"
