순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,아버지의 해방일지,8936438832,9.78894E+12,3810,창비,정지아 지음,"15,000","13,500","1,500",10%,750점,20220902,276606
2,국내도서,트렌드 코리아 2023,8959897094,9.78896E+12,13320,미래의창,김난도 외 지음,"19,000","17,100","1,900",10%,950점,20221005,146557
3,국내도서,조국의 법고전 산책,8997780514,9.789E+12,3100,오마이북,조국 지음,"22,000","19,800","2,200",10%,"1,100점",20221109,75761
4,국내도서,인생의 역사,K362839230,9.79119E+12,3810,난다,신형철 지음,"18,000","16,200","1,800",10%,900점,20221031,98937
5,국내도서,멜로디 봉봉 : 크리스마스 캐럴,K742636493,8.80948E+12,1,스마트베어,"김영아 외 지음, 책마중 그림","15,500","9,300","6,200",40%,0점,20221101,22058
6,국내도서,인생의 허무를 어떻게 할 것인가,K272830862,9.79117E+12,3810,사회평론아카데미,김영민 지음,"16,000","14,400","1,600",10%,800점,20221031,38590
7,국내도서,불편한 편의점 2 (단풍 에디션),K472839851,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20220810,176441
8,국내도서,이상한 과자 가게 전천당 16,K182830482,9.79116E+12,73830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","13,000","11,700","1,300",10%,650점,20221125,33780
9,국내도서,흔한남매 12,K422830492,9.79117E+12,77810,미래엔아이세움,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","14,500","13,050","1,450",10%,720점,20221130,66884
10,국내도서,한계선을 넘다,K272830385,9.79117E+12,3600,황금가지,크래프톤 지음,"35,000","31,500","3,500",10%,"1,750점",20221111,22653
11,국내도서,야쿠자의 덕질 2,K102830407,9.79114E+12,7830,㈜소미미디어,"야츠다 테키 지음, 박연지 옮김","6,000","5,400",600,10%,300점,20221207,24996
12,국내도서,하얼빈,895469991X,9.78895E+12,3810,문학동네,김훈 지음,"16,000","14,400","1,600",10%,800점,20220803,149428
13,국내도서,이은경쌤의 초등어휘일력 365 (스프링),K162839232,9.79119E+12,12590,포레스트북스,이은경 지음,"18,800","16,920","1,880",10%,940점,20221028,75265
14,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
15,국내도서,랑랑 형제 떡집,8949162482,9.78895E+12,74800,비룡소,"김리리 지음, 김이랑 그림","11,000","9,900","1,100",10%,550점,20221026,37497
16,국내도서,역행자,8901260719,9.7889E+12,3320,웅진지식하우스,자청 지음,"17,500","15,750","1,750",10%,870점,20220603,174269
17,국내도서,아주 오랜만에 행복하다는 느낌,8936438867,9.78894E+12,3810,창비,백수린 지음,"14,000","12,600","1,400",10%,700점,20221014,33267
18,국내도서,마흔에 읽는 니체,K162838352,9.79119E+12,3160,유노북스,장재형 지음,"16,000","14,400","1,600",10%,800점,20220901,41971
19,국내도서,흔한남매 과학 탐험대 6 : 물리 2,8934946792,9.78893E+12,77400,주니어김영사,"김덕영 그림, 이현진 외 글, 김희목 감수, 김희목 외 기획, 흔한남매 원작","14,000","12,600","1,400",10%,700점,20221122,33078
20,국내도서,나의 문화유산답사기 11 : 서울편 3,8936479199,9.78894E+12,3810,창비,유홍준 지음,"22,000","19,800","2,200",10%,"1,100점",20221025,21750
21,국내도서,에그박사 8,K002830264,9.79117E+12,77490,미래엔아이세움,"에그박사 지음, 홍종현 그림, 박송이 글, 이승현 감수","14,500","13,050","1,450",10%,720점,20221110,20957
22,국내도서,"물고기는 존재하지 않는다 (리커버 특별판, 양장)",K762839932,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,288861
23,국내도서,"우리, 편하게 말해요",8901264773,9.7889E+12,3710,웅진지식하우스,이금희 지음,"17,000","15,300","1,700",10%,850점,20221021,37884
24,국내도서,나의 히어로 아카데미아 36 + 2023 캘린더 한정판,K582830264,9.79114E+12,44830,서울미디어코믹스(서울문화사),호리코시 코헤이 지음,"27,000","24,300","2,700",10%,"1,350점",20221130,9382
25,국내도서,이 책은 돈 버는 법에 관한 이야기,K752839689,9.79119E+12,3320,라곰,고명환 지음,"16,800","15,120","1,680",10%,840점,20220919,44666
26,국내도서,나의 히어로 아카데미아 36 (한정판),K372830810,,,서울미디어코믹스(서울문화사),호리코시 코헤이 지음,"6,000","5,400",600,10%,300점,20221130,17885
27,국내도서,이토록 평범한 미래,8954680003,9.78895E+12,3810,문학동네,김연수 지음,"14,000","12,600","1,400",10%,700점,20221007,95111
28,국내도서,거의 모든 일상 표현의 영어,8960499757,9.78896E+12,14740,사람in,케빈 강.해나 변 지음,"17,000","15,300","1,700",10%,850점,20221101,58219
29,국내도서,파친코 2,K192838537,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220825,92942
30,국내도서,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),K392830163,9.79119E+12,3180,메이븐,김혜남 지음,"17,200","15,480","1,720",10%,860점,20221111,118589
31,국내도서,파친코 1,K202838509,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220727,99592
32,국내도서,나의 문화유산답사기 12 : 서울편 4,8936479202,9.78894E+12,3810,창비,유홍준 지음,"22,000","19,800","2,200",10%,"1,100점",20221025,18614
33,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
34,국내도서,원피스 103,K592839643,9.79117E+12,,대원씨아이(만화),오다 에이치로 지음,"5,500","4,950",550,10%,270점,20221028,37170
35,국내도서,2023년 빨강머리 앤×마리몽 다 잘될 거야! 탁상달력,K332839998,8.80953E+12,1,북엔(BOOK&_),북엔 편집부 지음,"9,800","5,880","3,920",40%,90점,20220921,23026
36,국내도서,너무 잘하려고 애쓰지 마라,K702837352,9.79117E+12,3810,열림원,나태주 지음,"14,000","12,600","1,400",10%,700점,20220531,45775
37,국내도서,주술회전 21 + 2023 캘린더 세트 (캐릭터 일러스트 카드 + 후시구로 메구미 포토카드 + 트럼프 카드 4종 포함 한정판),K552830403,9.79114E+12,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","27,000","24,300","2,700",10%,"1,350점",20221230,11876
38,국내도서,조셉 머피 부의 초월자,K642839237,9.79113E+12,4190,다산북스,"조셉 머피 지음, 조율리 옮김","22,000","19,800","2,200",10%,"1,100점",20221019,22639
