순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,작별인사,K122837904,9.79119E+12,3810,복복서가,김영하 지음,"14,000","12,600","1,400",10%,700점,20220502,111065
2,국내도서,문재인의 위로,K012837422,9.79116E+12,3810,더휴먼,더휴먼 편집부 엮음,"15,800","14,220","1,580",10%,790점,20220510,19967
3,국내도서,내가 틀릴 수도 있습니다,K822837807,9.79113E+12,3100,다산초당(다산북스),"비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김","16,000","14,400","1,600",10%,800점,20220418,43650
4,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
5,국내도서,흔한남매 10,K082837005,9.79117E+12,77810,미래엔아이세움,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","13,500","12,150","1,350",10%,670점,20220428,39531
6,국내도서,애쓰지 않아도,8960907340,9.78896E+12,3810,마음산책,"최은영 지음, 김세희 그림","14,500","13,050","1,450",10%,720점,20220430,22500
7,국내도서,물고기는 존재하지 않는다,K092835920,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,256226
8,국내도서,도쿄 리벤저스 25,K822837238,9.79117E+12,,학산문화사(만화),와쿠이 켄 지음,"6,000","5,400",600,10%,300점,20220513,15284
9,국내도서,5년 후 나에게 - Q&A a day (2022 메리골드 Edition),K692835606,9.79116E+12,14190,토네이도,"포터 스타일 지음, 정지현 옮김","16,800","15,120","1,680",10%,840점,20211129,32680
10,국내도서,2022 제13회 젊은작가상 수상작품집,8954685889,9.78895E+12,3810,문학동네,임솔아 외 지음,"14,000","12,600","1,400",10%,700점,20220408,52114
11,국내도서,여학교의 별 2,895468582X,9.78895E+12,7830,문학동네,"와야마 야마 지음, 현승희 옮김","8,500","7,650",850,10%,420점,20220505,47912
12,국내도서,둥실이네 떡집,8949162180,9.78895E+12,74800,비룡소,"김리리 지음, 김이랑 그림","11,000","9,900","1,100",10%,550점,20220422,31775
13,국내도서,책들의 부엌,K162837610,9.79117E+12,3810,팩토리나인,김지혜 지음,"14,500","13,050","1,450",10%,720점,20220512,18025
14,국내도서,기분을 관리하면 인생이 관리된다,K922837381,9.7912E+12,13810,클라우디아,김다슬 지음,"17,600","15,840","1,760",10%,880점,20220412,46866
15,국내도서,인플레이션에서 살아남기,K942837738,9.79119E+12,3320,페이지2(page2),오건영 지음,"18,800","16,920","1,880",10%,940점,20220523,28887
16,국내도서,나는 대출 없이 0원으로 소형 아파트를 산다,K042837907,9.79113E+12,3320,다산북스,잭파시(최경천) 지음,"20,000","18,000","2,000",10%,"1,000점",20220419,20996
17,국내도서,이상한 과자 가게 전천당 14,K482837904,9.79116E+12,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200",10%,600점,20220425,26707
