순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,만일 내가 인생을 다시 산다면 (10만 부 기념 스페셜 에디션),K392830163,9.79119E+12,3180,메이븐,김혜남 지음,"17,200","15,480","1,720",10%,860점,20221111,118589
2,국내도서,아버지의 해방일지,8936438832,9.78894E+12,3810,창비,정지아 지음,"15,000","13,500","1,500",10%,750점,20220902,276606
3,국내도서,내가 틀릴 수도 있습니다 (리커버),K152830593,9.79113E+12,3100,다산초당(다산북스),"비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김","16,000","14,400","1,600",10%,800점,20220418,102958
4,국내도서,흔한남매 12,K422830492,9.79117E+12,77810,미래엔아이세움,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","14,500","13,050","1,450",10%,720점,20221130,66884
5,국내도서,트렌드 코리아 2023,8959897094,9.78896E+12,13320,미래의창,김난도 외 지음,"19,000","17,100","1,900",10%,950점,20221005,146557
6,국내도서,주술회전 21 (초판한정 스페셜 일러스트 카드 + 선착순 한정 후시구로 메구미 포토 카드 포함 특장판),K522830559,,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","6,000","5,400",600,10%,300점,20221230,33376
7,국내도서,스파이 패밀리 10,K432830245,9.79117E+12,,학산문화사(만화),엔도 타츠야 지음,"6,000","5,400",600,10%,300점,20221220,41132
8,국내도서,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",K362732558,9.79119E+12,3830,모모,"이치조 미사키 지음, 권영주 옮김","14,000","12,600","1,400",10%,700점,20210621,108914
9,국내도서,불편한 편의점 2 (단풍 에디션),K472839851,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20220810,176441
10,국내도서,명탐정 코난 102,K652830247,9.79114E+12,47830,서울미디어코믹스(서울문화사),아오야마 고쇼 지음,"6,000","5,400",600,10%,300점,20221222,31255
11,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
12,국내도서,인생의 역사,K362839230,9.79119E+12,3810,난다,신형철 지음,"18,000","16,200","1,800",10%,900점,20221031,98937
13,국내도서,모든 것은 기본에서 시작한다,K082734846,9.79119E+12,3810,수오서재,손웅정 지음,"16,000","14,400","1,600",10%,800점,20211015,65107
14,국내도서,거의 모든 일상 표현의 영어,8960499757,9.78896E+12,14740,사람in,케빈 강.해나 변 지음,"17,000","15,300","1,700",10%,850점,20221101,58219
15,국내도서,명탐정 코난 : 제로의 일상 6,K572830247,9.79114E+12,,서울미디어코믹스(서울문화사),"아라이 타카히로 지음, 아오야마 고쇼 원작","6,000","5,400",600,10%,300점,20221222,20142
16,국내도서,크리스마스 타일,8936438891,9.78894E+12,3810,창비,김금희 지음,"15,000","13,500","1,500",10%,750점,20221125,27534
17,국내도서,사람을 얻는 지혜 (국내 최초 스페인어 완역본),K742839951,9.79114E+12,3840,현대지성,"발타자르 그라시안 지음, 김유경 옮김","12,000","10,800","1,200",10%,600점,20221028,47706
18,국내도서,조국의 법고전 산책,8997780514,9.789E+12,3100,오마이북,조국 지음,"22,000","19,800","2,200",10%,"1,100점",20221109,75761
19,국내도서,"밥 챙겨 먹어요, 행복하세요",K842830716,9.79119E+12,13590,세미콜론,마포농수산쎈타 지음,"19,800","17,820","1,980",10%,990점,20221130,31156
