순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","달러구트 꿈 백화점","K392630952","9791165341909","03810","팩토리나인","이미예 지음","13,800","12,420","1,380","10%","690점","20200708","118628"
"2","국내도서","공정하다는 착각","K092633826","9791164136452","03300","와이즈베리","마이클 샌델 지음, 함규진 옮김","18,000","16,200","1,800","10%","900점","20201201","71608"
"3","국내도서","일인칭 단수","8954675980","9788954675987","03830","문학동네","무라카미 하루키 지음, 홍은주 옮김","14,500","13,050","1,450","10%","720점","20201126","17044"
"4","국내도서","마음챙김의 시","K842633074","9791190382267","03810","수오서재","류시화 엮음","13,000","11,700","1,300","10%","650점","20200917","45518"
"5","국내도서","어떻게 말해줘야 할까","8934986654","9788934986652","13590","김영사","오은영 지음, 차상미 그림","17,500","15,750","1,750","10%","870점","20201025","67915"
"6","국내도서","트렌드 코리아 2021","8959896837","9788959896837","13320","미래의창","김난도 외 지음","18,000","16,200","1,800","10%","900점","20201012","19081"
"7","국내도서","이상한 과자 가게 전천당 9","K092736875","9791164062898","74830","길벗스쿨","히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200","10%","600점","20201207","11363"
"8","국내도서","셀트리오니즘","K222736004","9791190238335","03320","스마트북스","전예진 지음","18,000","16,200","1,800","10%","900점","20201204","4510"
"9","국내도서","위기의 시대, 돈의 미래","890124571X","9788901245713","03320","리더스북","짐 로저스 지음, 전경아 옮김","17,500","15,750","1,750","10%","870점","20201120","6142"
"10","국내도서","블랙 쇼맨과 이름 없는 마을의 살인","8925591715","9788925591711","03830","알에이치코리아(RHK)","히가시노 게이고 지음, 최고은 옮김","19,800","17,820","1,980","10%","990점","20201130","11276"
"11","국내도서","추리 천재 엉덩이 탐정 10","K252736232","9791164137053","74830","미래엔아이세움","트롤 글.그림, 김정화 옮김","12,000","10,800","1,200","10%","600점","20201215","9682"
"12","국내도서","뉴욕주민의 진짜 미국식 주식투자","K992736716","9791162541807","03320","비즈니스북스","뉴욕주민 지음","23,000","20,700","2,300","10%","1,150점","20201216","6525"
"13","국내도서","완벽한 아이","K342736979","9791191114058","03860","복복서가","모드 쥘리앵 지음, 윤진 옮김","16,000","14,400","1,600","10%","800점","20201204","6093"
"14","국내도서","어린이라는 세계","K132633125","9791160946918","03810","사계절","김소영 지음","15,000","13,500","1,500","10%","750점","20201116","71013"
"15","국내도서","하이큐!! 45","K412737694","9791136255822","","대원씨아이(만화)","후루다테 하루이치 지음","5,000","4,500","500","10%","250점","20201224","8727"
"16","국내도서","방구석 미술관 2 : 한국","K132732197","9788968332845","03600","블랙피쉬","조원재 지음","18,500","16,650","1,850","10%","920점","20201118","24472"
"17","국내도서","정재승의 인간 탐구 보고서 5","8950983117","9788950983116","74400","아울북","정재승 기획, 정재은.이고은 글, 김현민 그림","14,000","12,600","1,400","10%","700점","20201209","7489"
"18","국내도서","책 한번 써봅시다","K712735246","9791160404371","03800","한겨레출판","장강명 지음, 이내 그림","15,000","13,500","1,500","10%","750점","20201123","5967"
"19","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","234600"
"20","국내도서","책 먹는 여우의 겨울 이야기","8934991348","9788934991342","73850","주니어김영사","프란치스카 비어만 지음, 송순섭 옮김","13,000","11,700","1,300","10%","650점","20201210","8676"
"21","국내도서","주린이도 술술 읽는 친절한 주식책","K912632497","9791160022988","03320","메이트북스","최정희.이슬기 지음","15,000","13,500","1,500","10%","750점","20200901","17358"
"22","국내도서","이토록 공부가 재미있어지는 순간 (10만 부 기념 스페셜 에디션)","K302631614","9791130604626","13370","다산북스","박성혁 지음","15,000","13,500","1,500","10%","750점","20200727","16882"
"23","국내도서","미스터 마켓 2021","K242735046","9791190977036","03320","페이지2(page2)","이한영 외 지음","17,000","15,300","1,700","10%","850점","20201123","5160"
"24","국내도서","읽기만 하면 내 것이 되는 1페이지 미술 365 (고흐 에디션)","K582736433","9791190931106","","비에이블","김영숙 지음","18,500","16,650","1,850","10%","920점","20200925","12321"
"25","국내도서","방구석 미술관","K042732197","9788968331862","03600","블랙피쉬","조원재 지음","16,800","15,120","1,680","10%","840점","20180803","53796"
"26","국내도서","흔한남매의 흔한 호기심 2","K352736335","9791164137121","77400","미래엔아이세움","안치현 지음, 유난희 그림, 이정모 외 감수, 흔한남매 원작","12,000","10,800","1,200","10%","600점","20201217","14107"
"27","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 상","K382636520","9791164421053","13910","이투스북","최태성 지음","14,500","13,050","1,450","10%","720점","20191231","16400"
"28","국내도서","2인조","K512736562","9791158161255","03810","달","이석원 지음","14,800","13,320","1,480","10%","740점","20201202","4961"
"29","국내도서","내가 검찰을 떠난 이유","K782735580","9791197187322","03300","포르체","이연주 지음, 김미옥 해설","17,800","16,020","1,780","10%","890점","20201111","3779"
"30","국내도서","설민석의 세계사 대모험 7","K602736334","9791196893187","","단꿈아이","설민석.잼 스토리 지음, 박성일 그림, 단꿈 연구소 감수","12,000","10,800","1,200","10%","600점","20201225","5611"
"31","국내도서","흔한남매 별난 방탈출 1","K172736336","9791164137176","77810","미래엔아이세움","김언정 지음, 차차 그림, 흔한컴퍼니 감수, 흔한남매 원작","12,000","10,800","1,200","10%","600점","20201217","9302"
"32","국내도서","나미야 잡화점의 기적 (100쇄 기념 땡큐 에디션)","K152731585","9788972756194","03830","현대문학","히가시노 게이고 지음, 양윤옥 옮김","14,800","13,320","1,480","10%","740점","20201219","127618"
"33","국내도서","돈의 속성 (150쇄 기념 에디션)","K312633112","9791188331796","03320","스노우폭스북스","김승호 지음","16,800","15,120","1,680","10%","840점","20200615","35242"
"34","국내도서","큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1.2.3급) 하","K402636045","9791164421114","13910","이투스북","최태성 지음","14,500","13,050","1,450","10%","720점","20200131","14897"
"35","국내도서","이게 정말 뭘까?","8934991925","9788934991922","77830","주니어김영사","요시타케 신스케 지음, 김정화 옮김","13,000","11,700","1,300","10%","650점","20201126","5036"
"36","국내도서","엑시트 EXIT","K662735148","9791187799146","13320","지혜로","송희창(송사무장) 지음","17,000","15,300","1,700","10%","850점","20201123","7414"
"37","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩)","8917232191","9788917232196","14740","(주)YBM(와이비엠)","ETS 엮음","17,800","16,020","1,780","10%","890점","20191216","61720"
"38","국내도서","명랑한 은둔자","K332632851","9791189932671","03840","바다출판사","캐럴라인 냅 지음, 김명남 옮김","16,000","14,400","1,600","10%","800점","20200904","24145"
"39","국내도서","다산의 마지막 습관","8935213349","9788935213344","03100","청림출판","조윤제 지음","16,000","14,400","1,600","10%","800점","20201116","11522"
"40","국내도서","인생은 소설이다","8984374164","9788984374164","03860","밝은세상","기욤 뮈소 지음, 양영란 옮김","15,000","13,500","1,500","10%","750점","20201124","5807"
"41","국내도서","천 개의 아침","8960906514","9788960906518","03840","마음산책","메리 올리버 지음, 민승남 옮김","13,000","11,700","1,300","10%","650점","20201125","5902"
"42","국내도서","이런 수학은 처음이야","8950993015","9788950993016","03410","21세기북스","최영기 지음","17,000","15,300","1,700","10%","850점","20201111","9586"
"43","국내도서","ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝)","8917232183","9788917232189","13740","(주)YBM(와이비엠)","ETS 엮음","17,800","16,020","1,780","10%","890점","20191216","56130"
"44","국내도서","니클의 소년들","K652736330","9791191071238","03840","은행나무","콜슨 화이트헤드 지음, 김승욱 옮김","14,000","12,600","1,400","10%","700점","20201211","7787"
"45","국내도서","걸어 다니는 어원 사전","K292632855","9791155813102","03740","윌북","마크 포사이스 지음, 홍한결 옮김","16,800","15,120","1,680","10%","840점","20200907","11147"
"46","국내도서","존리의 금융문맹 탈출","K542633100","9791190242516","03320","베가북스","존 리 지음","16,000","14,400","1,600","10%","800점","20201012","13095"
"47","국내도서","주식투자 무작정 따라하기","K982636921","9791165210144","13320","길벗","윤재수 지음","18,000","16,200","1,800","10%","900점","20191220","27234"
"48","국내도서","나의 하루는 4시 30분에 시작된다","K922633306","9791158511906","03190","토네이도","김유진 지음","15,000","13,500","1,500","10%","750점","20201020","15050"
"49","국내도서","세계미래보고서 2021 (포스트 코로나 특별판)","K732633601","9791162541722","03320","비즈니스북스","박영숙.제롬 글렌 지음","17,800","16,020","1,780","10%","890점","20201022","5886"
"50","국내도서","설민석의 한국사 대모험 15","K052633102","9791165382704","74910","아이휴먼","설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수","12,000","10,800","1,200","10%","600점","20201026","11866"
"51","국내도서","연년세세","8936434446","9788936434441","03810","창비","황정은 지음","14,500","13,050","1,450","10%","720점","20200918","10165"
"52","국내도서","미드나잇 선 1","K852736333","9791164137077","04840","북폴리오","스테프니 메이어 지음, 심연희 옮김","15,800","14,220","1,580","10%","790점","20201224","4881"
"53","국내도서","올리버쌤의 영어회화 일력 365 (스프링)","K812633228","9791190931182","12740","비에이블","올리버 샨 그랜트 지음","18,500","16,650","1,850","10%","920점","20201119","7906"
"54","국내도서","코스모스","8983711892","9788983711892","03400","사이언스북스","칼 세이건 지음, 홍승수 옮김","19,900","17,910","1,990","10%","990점","20061220","132562"
"55","국내도서","도토리랑 콩콩","K572736569","9791164137060","77810","미래엔아이세움","윤지회 지음","11,000","9,900","1,100","10%","550점","20201205","3137"
"56","국내도서","보건교사 안은영 (특별판)","8937479958","9788937479953","03810","민음사","정세랑 지음","14,000","12,600","1,400","10%","700점","20200911","22430"
"57","국내도서","사피엔스 : 그래픽 히스토리 Vol.1","8934991321","9788934991328","07900","김영사","다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색","17,800","16,020","1,780","10%","890점","20201123","9463"
"58","국내도서","2021 데미안 탁상달력","K522633324","8809529011809","1","북엔(BOOK&_)","미르북컴퍼니 편집부 지음","7,500","4,500","3,000","40%","70점","20201115","3344"
"59","국내도서","박곰희 투자법","K412736970","9791191056334","03320","인플루엔셜(주)","박곰희 지음","17,500","15,750","1,750","10%","870점","20201210","5168"
"60","국내도서","미드나잇 선 2","K872736333","9791164137084","04840","북폴리오","스테프니 메이어 지음, 심연희 옮김","15,800","14,220","1,580","10%","790점","20201224","4571"
"61","국내도서","노희영의 브랜딩 법칙","8950992787","9788950992781","03320","21세기북스","노희영 지음","22,000","19,800","2,200","10%","1,100점","20201201","3779"
"62","국내도서","아몬드 (양장)","8936434268","9788936434267","03810","창비","손원평 지음","14,000","12,600","1,400","10%","700점","20170331","46454"
"63","국내도서","가난의 문법","K232736775","9791156758518","03330","푸른숲","소준철 지음","16,000","14,400","1,600","10%","800점","20201130","3899"
"64","국내도서","흔한남매 6","K062633309","9791164136261","77810","미래엔아이세움","흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","12,000","10,800","1,200","10%","600점","20201015","18826"
"65","국내도서","좋은 사람에게만 좋은 사람이면 돼","K652632615","9791190908634","03810","위즈덤하우스","김재식 지음","14,800","13,320","1,480","10%","740점","20200901","9318"
"66","국내도서","2021 현직교사들이 들려주는 면접레시피","K642633119","9791155028315","","미래가치","류은진 외 지음","35,000","31,500","3,500","10%","1,750점","20201027","4124"
"67","국내도서","고양이 해결사 깜냥 2","8936447866","9788936447861","74810","창비","홍민정 지음, 김재희 그림","11,000","9,900","1,100","10%","550점","20201030","32928"
"68","국내도서","우리가 빛의 속도로 갈 수 없다면","K462635914","9791190090018","03810","허블","김초엽 지음","14,000","12,600","1,400","10%","700점","20190624","67630"
"69","국내도서","나를 부르는 숲","8972916528","9788972916529","03840","까치","빌 브라이슨 지음, 홍은택 옮김","13,500","12,150","1,350","10%","670점","20180108","6655"
"70","국내도서","Go Go 카카오프렌즈 17 : 러시아","8950992833","9788950992835","74900","아울북","김미영 지음, 김정한 그림","14,800","13,320","1,480","10%","740점","20201120","4878"
"71","국내도서","나의 BB","K902736232","9791188694808","07810","디자인이음","이고 지음","16,000","14,400","1,600","10%","800점","20201215","1651"
"72","국내도서","해커스 토익 RC 리딩 READING","8965423341","9788965423348","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","18,800","16,920","1,880","10%","940점","20200102","42034"
"73","국내도서","2021 현직교사들이 들려주는 면접레시피 핵심요약","K662735046","9791155028551","13370","미래가치","류은진 외 지음","7,000","6,300","700","10%","350점","20201123","2186"
"74","국내도서","주술회전 11 (스페셜 일러스트 카드 + 양면 캐릭터 일러스트 카드 포함 특장판)","K692737123","","","서울미디어코믹스(서울문화사)","아쿠타미 게게 지음, 이정운 옮김","5,000","4,500","500","10%","250점","20210115","3102"
"75","국내도서","결과가 증명하는 20년 책육아의 기적","8947546593","9788947546591","03590","한국경제신문","서안정 지음","16,800","15,120","1,680","10%","840점","20201120","2910"
