순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
432,국내도서,2023 써니 행정법총론 (기출지문 암기 App 이용쿠폰 제공) - 전2권,K782837349,9.79116E+12,14360,지금(도서출판),박준철 지음,"49,000","44,100","4,900",10%,"2,450점",20220531,14401
433,국내도서,이토록 뜻밖의 뇌과학,K922733927,9.79117E+12,3400,더퀘스트,"리사 펠드먼 배럿 지음, 변지영 옮김, 정재승 감수","16,000","14,400","1,600",10%,800점,20210805,24422
434,국내도서,Re : 제로부터 시작하는 이세계 생활 30,K122839646,9.79114E+12,4830,영상출판미디어(주),"나가츠키 탓페이 지음, 오츠카 신이치로 그림, 정홍식 옮김","7,500","6,750",750,10%,370점,20221101,4687
435,국내도서,군주론,K262733021,9.79117E+12,3160,현대지성,"니콜로 마키아벨리 지음, 김운찬 옮김","7,700","6,930",770,10%,380점,20210726,24799
436,국내도서,청춘 블라썸 시즌2 : 5,K532839497,9.79113E+12,7810,재담,"홍덕 지음, NEMONE 그림","15,000","13,500","1,500",10%,750점,20220930,3171
437,국내도서,생각하라 그리고 부자가 되어라,K562737221,9.79119E+12,3320,반니,"나폴레온 힐 지음, 빌 하틀리 엮음, 이한이 옮김","18,000","16,200","1,800",10%,900점,20210105,38787
438,국내도서,프랑스자수 스티치 200,8965181046,9.78897E+12,13630,경향미디어,"일본 보그사 지음, 김수연 외 옮김","3,600","3,240",360,10%,180점,20140530,13340
439,국내도서,위어드,8950941864,9.78895E+12,,21세기북스,"조지프 헨릭 지음, 유강은 옮김","42,000","37,800","4,200",10%,"2,100점",20221019,11520
440,국내도서,도서관의 대마법사 6,K142839491,9.79114E+12,7830,㈜소미미디어,"이즈미 미츠 지음, 김민재 옮김","6,000","5,400",600,10%,300점,20221007,3191
441,국내도서,2023 유휘운 행정법총론 진도별 기출문제집(진출) - 전2권,K502839391,9.79117E+12,13360,메가스터디교육(공무원),유휘운 지음,"46,000","41,400","4,600",10%,"2,300점",20221007,4217
442,국내도서,나의 히어로 아카데미아 34,K102838257,9.79114E+12,,서울미디어코믹스(서울문화사),호리코시 코헤이 지음,"6,000","5,400",600,10%,300점,20220831,9644
443,국내도서,똑게육아,K432836219,9.7912E+12,13590,북로스트,로리(김준희) 지음,"22,200","19,980","2,220",10%,"1,110점",20220223,27285
444,국내도서,한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기,K392839920,9.79119E+12,3600,한국경제신문,한경arte 특별취재팀 지음,"13,000","11,700","1,300",10%,650점,20221019,13613
445,국내도서,스크루테이프의 편지,8936513192,9.78894E+12,3230,홍성사,"C.S.루이스 지음, 김선형 옮김","13,000","11,700","1,300",10%,650점,20181115,28134
446,국내도서,다이아몬드 에이스 ACT2 : 30,K642839810,9.79117E+12,,학산문화사(만화),테라지마 유지 지음,"6,000","5,400",600,10%,300점,20221007,2151
447,국내도서,사라진 여자들,K702839798,9.79116E+12,3840,해피북스투유,"메리 쿠비카 지음, 신솔잎 옮김","15,800","14,220","1,580",10%,790점,20221005,3491
448,국내도서,나는 나를 바꾸기로 했다,8972773662,9.78897E+12,3320,리드리드출판(한국능률협회),"우즈훙 지음, 이에스더 옮김","15,800","14,220","1,580",10%,790점,20221012,3281
449,국내도서,2023 시나공 컴퓨터활용능력 1급 필기,K502838251,9.79114E+12,13000,길벗,길벗 R&D 외 지음,"32,000","28,800","3,200",10%,"1,600점",20220822,10482
450,국내도서,슬로우 미러클 영어 그림책 느리게 100권 읽기의 힘,K652838022,9.79114E+12,3590,길벗,고광윤 지음,"29,800","26,820","2,980",10%,"1,490점",20220720,8434
451,국내도서,H마트에서 울다,8954683371,9.78895E+12,3840,문학동네,"미셸 자우너 지음, 정혜윤 옮김","16,000","14,400","1,600",10%,800점,20220228,39868
452,국내도서,경매 권리분석 이렇게 쉬웠어?,K762534624,9.79119E+12,13320,지혜로,"박희철 지음, 송희창 감수","18,000","16,200","1,800",10%,900점,20190115,32715
453,국내도서,달리기를 말할 때 내가 하고 싶은 이야기,K042832224,9.78897E+12,3830,문학사상,"무라카미 하루키 지음, 임홍빈 옮김","14,500","13,050","1,450",10%,720점,20090105,28388
454,국내도서,반도체 삼국지,8964621816,9.78896E+12,3320,뿌리와이파리,권석준 지음,"20,000","18,000","2,000",10%,"1,000점",20221012,6432
455,국내도서,52주의 뜨개 양말,K582839309,9.79116E+12,13590,한즈미디어(한스미디어),"레인 지음, 서효령 옮김","29,800","26,820","2,980",10%,"1,490점",20220929,3944
456,국내도서,클로버,8936457136,9.78894E+12,43810,창비,나혜림 지음,"13,000","11,700","1,300",10%,650점,20220913,13586
457,국내도서,마지막 몰입,K152738321,9.79116E+12,3190,비즈니스북스,"짐 퀵 지음, 김미정 옮김","16,800","15,120","1,680",10%,840점,20210223,27518
458,국내도서,파과,K872532537,9.79116E+12,3810,위즈덤하우스,구병모 지음,"14,000","12,600","1,400",10%,700점,20180416,26612
459,국내도서,1984,8937460777,9.78894E+12,4840,민음사,"조지 오웰 지음, 정회성 옮김","9,500","8,550",950,10%,470점,20030616,65763
460,국내도서,조정민의 답답답,8953143225,9.78895E+12,4230,두란노,조정민 지음,"15,000","13,500","1,500",10%,750점,20220921,10302
461,국내도서,먼작귀 2 (그림책 포함 특별판),K702838056,9.79117E+12,,미우(대원씨아이),나가노 지음,"18,000","16,200","1,800",10%,900점,20220831,10381
462,국내도서,도파민네이션,8965965047,9.78897E+12,3180,흐름출판,"애나 렘키 지음, 김두완 옮김","18,000","16,200","1,800",10%,900점,20220321,58740
463,국내도서,천 개의 파랑,K882632470,9.79119E+12,3810,허블,천선란 지음,"14,000","12,600","1,400",10%,700점,20200819,38865
464,국내도서,생각에 관한 생각,8934981210,9.78893E+12,3320,김영사,"대니얼 카너먼 지음, 이창신 옮김","25,000","22,500","2,500",10%,"1,250점",20180330,33105
465,국내도서,마도정병의 슬레이브 10,K322839544,9.79117E+12,,대원씨아이(만화),"타케무라 요헤이 지음, 타카 히로 원작","5,500","4,950",550,10%,270점,20221021,3378
466,국내도서,신기한 맛 도깨비 식당 3,K762839237,9.79117E+12,74810,꿈터,"김용세.김병섭 지음, 센개 그림","13,000","11,700","1,300",10%,650점,20221031,9677
467,국내도서,분노가 세상을 바꾼다,K852839605,9.79119E+12,3320,베가북스,홍사훈 지음,"17,000","15,300","1,700",10%,850점,20221013,1929
468,국내도서,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,K432839784,9.79114E+12,,위시북스(KW북스),백덕수 지음,"95,000","85,500","9,500",10%,"4,750점",20221208,41328
469,국내도서,벌거벗은 한국사 : 인물편,K792838158,9.7912E+12,4910,프런트페이지,"tvN〈벌거벗은 한국사〉제작팀 지음, 최태성 감수","18,800","16,920","1,880",10%,940점,20220822,10899
470,국내도서,오은영 박사가 전하는 금쪽이들의 진짜 마음속,K282837231,9.79119E+12,13590,오은라이프사이언스(주),오은영 지음,"19,800","17,820","1,980",10%,990점,20220525,27576
471,국내도서,쇼킹부동산 3 : 역전세대란,K332839232,9.79119E+12,13320,SG연구소,쇼킹부동산 지음,"17,000","15,300","1,700",10%,850점,20221010,4224
472,국내도서,부자의 자세,K132839920,9.7912E+12,13320,좋은연필,제이원 지음,"15,000","13,500","1,500",10%,750점,20221013,26237
473,국내도서,지리의 힘 2,8993178984,9.78899E+12,3300,사이,"팀 마샬 지음, 김미선 옮김","23,000","20,700","2,300",10%,"1,150점",20220410,30215
474,국내도서,전설로 떠나는 월가의 영웅,8957825940,9.78896E+12,13320,국일증권경제연구소,"피터 린치.존 로스차일드 지음, 이건 옮김, 홍진채 감수","26,000","23,400","2,600",10%,"1,300점",20210730,36836
475,국내도서,장사의 神,8965700892,9.78897E+12,3320,쌤앤파커스,"우노 다카시 지음, 김문정 옮김","14,000","12,600","1,400",10%,700점,20120927,16878
476,국내도서,이제 그것을 보았어,K102839302,9.79119E+12,3810,난다,박혜진 지음,"16,000","14,400","1,600",10%,800점,20220930,3700
477,국내도서,감옥으로부터의 사색,897199911X,9.78897E+12,3810,돌베개,신영복 지음,"18,000","16,200","1,800",10%,900점,20181030,12077
478,국내도서,최재천의 동물대탐험 1 : 비글호의 푸른 유령,K332839643,9.79113E+12,74470,다산어린이,"최재천 기획, 박현미 그림, 황혜영 글, 안선영 해설","15,000","13,500","1,500",10%,750점,20221102,10233
479,국내도서,한반도에 지저스 웨이브가 온다,8996535893,9.789E+12,3230,세이지,김성욱 지음,"18,000","16,200","1,800",10%,900점,20220905,4682
480,국내도서,도쿄 리벤저스 27,K582838140,9.79117E+12,,학산문화사(만화),와쿠이 켄 지음,"6,000","5,400",600,10%,300점,20220812,13137
481,국내도서,읽으면서 바로 써먹는 어린이 수수께끼 : 공포 특급,K612838118,9.79116E+12,73710,파란정원,한날 지음,"13,000","11,700","1,300",10%,650점,20220725,12586
482,국내도서,보도 섀퍼의 이기는 습관,K402836832,9.79116E+12,3190,토네이도,"보도 섀퍼 지음, 박성원 옮김","17,000","15,300","1,700",10%,850점,20220318,42885
483,국내도서,소크라테스 익스프레스,K822730528,9.79119E+12,3100,어크로스,"에릭 와이너 지음, 김하현 옮김","18,000","16,200","1,800",10%,900점,20210428,66887
484,국내도서,네이티브 영어표현력 사전,8927701054,9.78893E+12,13740,다락원,이창수 지음,"25,000","22,500","2,500",10%,"1,250점",20181025,22838
485,국내도서,만 원으로 차리는 파인 다이닝,K782839137,9.79119E+12,13590,용감한까치,요리용디 지음,"25,000","22,500","2,500",10%,"1,250점",20221102,2973
486,국내도서,당신이 옳다,K472830359,9.78897E+12,3180,해냄,정혜신 지음,"15,800","14,220","1,580",10%,790점,20181010,46533
487,국내도서,내가 죽기로 결심한 것은 1,K512839374,9.79117E+12,7810,네이버웹툰,YUJU 지음,"16,000","14,400","1,600",10%,800점,20220915,11534
488,국내도서,아홉 살 마음 사전,8936447017,9.78894E+12,73710,창비,"박성우 지음, 김효은 그림","13,000","11,700","1,300",10%,650점,20170310,66103
489,국내도서,보도 섀퍼의 돈,8919205019,9.78892E+12,3320,에포케,"보도 섀퍼 지음, 이병서 옮김","16,000","14,400","1,600",10%,800점,20110517,50939
490,국내도서,스파이 패밀리 가족의 초상 : 아크릴스탠드 한정판 A,K342839756,9.79117E+12,,학산문화사(라이트노벨),"야지마 아야 지음, 엔도 타츠야 원작","25,000","22,500","2,500",10%,"1,250점",20221025,2269
491,국내도서,팔견전 15,K382839929,9.79114E+12,7830,㈜소미미디어,"아베 미유키 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20221021,1620
492,국내도서,2023 올라 경찰실무종합 오함마 응용문제집 - 전2권,8958192720,9.78896E+12,14350,경찰공제회,오현웅 지음,"30,000","30,000",0,0%,0점,20221011,810
493,국내도서,투자에도 순서가 있다,892557750X,9.78893E+12,3320,알에이치코리아(RHK),홍춘욱 지음,"18,000","16,200","1,800",10%,900점,20220924,3387
494,국내도서,우리 아기 오감발달 우리 집 반려동물 사운드북,K942837707,8.80926E+12,1,어스본코리아,"샘 태플린 지음, 페데리카 아이오사 그림","18,000","14,400","3,600",20%,540점,20220415,7442
495,국내도서,재혼황후 8 + 미공개 외전 세트,K952839641,9.79116E+12,4810,해피북스투유,알파타르트 지음,"19,000","17,100","1,900",10%,950점,20221224,4610
496,국내도서,서툰 어른 처방전,K232839727,9.79119E+12,3810,강한별,박대선 지음,"16,800","15,120","1,680",10%,840점,20221012,4892
497,국내도서,김영하 소설 결정판 박스 세트 2차분 - 전6권,K292839683,9.79119E+12,4810,복복서가,김영하 지음,"73,000","65,700","7,300",10%,"3,650점",20220922,1788
498,국내도서,부자의 언어,K652638520,9.79116E+12,3320,윌북,"존 소포릭 지음, 이한이 옮김","16,800","15,120","1,680",10%,840점,20200325,19413
499,국내도서,역사의 쓸모,K152635416,9.79113E+12,3900,다산초당(다산북스),최태성 지음,"15,000","13,500","1,500",10%,750점,20190614,48245
