순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,K432839784,9.79114E+12,,위시북스(KW북스),백덕수 지음,"95,000","85,500","9,500",10%,"4,750점",20221208,41328
2,국내도서,하얼빈,895469991X,9.78895E+12,3810,문학동네,김훈 지음,"16,000","14,400","1,600",10%,800점,20220803,149428
3,국내도서,아버지의 해방일지,8936438832,9.78894E+12,3810,창비,정지아 지음,"15,000","13,500","1,500",10%,750점,20220902,276606
4,국내도서,불편한 편의점 2,K432838027,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20220810,65120
5,국내도서,나는 오래된 거리처럼 너를 사랑하고,8932040443,9.78893E+12,3810,문학과지성사,진은영 지음,"12,000","10,800","1,200",10%,600점,20220831,57004
6,국내도서,데뷔 못 하면 죽는 병 걸림 1부 초판 양장본 세트 - 전2권,K062839785,9.79114E+12,,위시북스(KW북스),백덕수 지음,"30,000","27,000","3,000",10%,"1,500점",20221208,13084
7,국내도서,파친코 2,K192838537,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220825,92942
8,국내도서,파친코 1,K202838509,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220727,99592
9,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
10,국내도서,얼굴만으론 좋아할 수 없어요 5,K082839582,9.79114E+12,,서울미디어코믹스(서울문화사),"안자이 카린 지음, 이소연 옮김","5,500","4,950",550,10%,270점,20220930,12953
11,국내도서,도쿄 에일리언즈 4 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),K172839306,,,서울미디어코믹스(서울문화사),"NAOE 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20221025,13150
12,국내도서,헤어질 결심 각본,8932474753,9.78893E+12,3680,을유문화사,박찬욱.정서경 지음,"15,000","13,500","1,500",10%,750점,20220805,121092
13,국내도서,역행자,8901260719,9.7889E+12,3320,웅진지식하우스,자청 지음,"17,500","15,750","1,750",10%,870점,20220603,174269
14,국내도서,문장과 순간,K182839982,9.7912E+12,3810,인티N,박웅현 지음,"18,000","16,200","1,800",10%,900점,20220926,15407
15,국내도서,설민석의 한국사 대모험 22,K442839462,9.79119E+12,74910,단꿈아이,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수","13,000","11,700","1,300",10%,650점,20220829,24660
16,국내도서,최소한의 이웃,8934942401,9.78893E+12,3810,김영사,허지웅 지음,"15,800","14,220","1,580",10%,790점,20220822,17198
17,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
18,국내도서,위로의 미술관,K502839261,9.79119E+12,3600,빅피시,진병관 지음,"18,800","16,920","1,880",10%,940점,20220831,18555
19,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),891723853X,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,180570
20,국내도서,원씽 The One Thing (리커버 특별판),8997575163,9.789E+12,"13190
",비즈니스북스,"게리 켈러 & 제이 파파산 지음, 구세희 옮김","14,000","12,600","1,400",10%,700점,20130820,137566
21,국내도서,빠르게 실패하기,K892839663,9.79119E+12,3190,스노우폭스북스,"존 크럼볼츠.라이언 바비노 지음, 도연 옮김","16,500","14,850","1,650",10%,820점,20220831,20925
22,국내도서,흑뢰성,K332839361,9.7912E+12,3830,리드비,"요네자와 호노부 지음, 김선영 옮김","16,800","15,120","1,680",10%,840점,20220901,15637
23,국내도서,푸른 사자 와니니 4,8936443259,9.78894E+12,73810,창비,"이현 지음, 오윤화 그림","12,000","10,800","1,200",10%,600점,20220819,25211
24,국내도서,그릿 GRIT (100쇄 기념 리커버 에디션),K102534140,9.79116E+12,3190,비즈니스북스,"앤절라 더크워스 지음, 김미정 옮김","16,000","14,400","1,600",10%,800점,20190220,58890
25,국내도서,계속 가보겠습니다,K282838912,9.79116E+12,3330,메디치미디어,임은정 지음,"18,000","16,200","1,800",10%,900점,20220722,49937
26,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,235607
27,국내도서,원펀맨 One Punch Man 26,K212839995,9.79117E+12,,대원씨아이(만화),"ONE 지음, 무라타 유스케 그림","5,500","4,950",550,10%,270점,20220923,16009
28,국내도서,푸른 사자 와니니 5,8936443267,9.78894E+12,73810,창비,"이현 지음, 오윤화 그림","12,000","10,800","1,200",10%,600점,20220819,24246
29,국내도서,그리스 로마 신화 30 : 기나긴 모험 그 끝의 이야기,8950971658,9.78895E+12,74800,아울북,"박시연 지음, 최우빈 그림, 김헌 감수","15,000","13,500","1,500",10%,750점,20220914,9488
30,국내도서,어디로 가세요 펀자이씨?,8954688519,9.78895E+12,4810,문학동네,엄유진 지음,"16,000","14,400","1,600",10%,800점,20220920,10129
31,국내도서,내가 죽기로 결심한 것은 1,K512839374,9.79117E+12,7810,네이버웹툰,YUJU 지음,"16,000","14,400","1,600",10%,800점,20220915,11534
32,국내도서,내가 죽기로 결심한 것은 2,K752839374,9.79117E+12,7810,네이버웹툰,YUJU 지음,"16,000","14,400","1,600",10%,800점,20220915,11394
33,국내도서,쇳밥일지,8954688101,9.78895E+12,3810,문학동네,천현우 지음,"14,500","13,050","1,450",10%,720점,20220823,14112
34,국내도서,멘탈이 강해지는 연습,K452838537,9.79117E+12,3190,서삼독,"데이먼 자하리아데스 지음, 김미정 옮김","15,000","13,500","1,500",10%,750점,20220822,12890
35,국내도서,트렌드 코리아 2023,8959897094,9.78896E+12,13320,미래의창,김난도 외 지음,"19,000","17,100","1,900",10%,950점,20221005,146557
