순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,조국의 시간,8935668664,9.78894E+12,3340,한길사,조국 지음,"17,000","15,300","1,700",10%,850점,20210531,40290
2,국내도서,완전한 행복,K432732398,9.79117E+12,3810,은행나무,정유정 지음,"15,800","14,220","1,580",10%,790점,20210608,39044
3,국내도서,소크라테스 익스프레스,K822730528,9.79119E+12,3100,어크로스,"에릭 와이너 지음, 김하현 옮김","18,000","16,200","1,800",10%,900점,20210428,68043
4,국내도서,지구인만큼 지구를 사랑할 순 없어,K272732228,9.79119E+12,3810,위즈덤하우스,정세랑 지음,"16,800","15,120","1,680",10%,840점,20210610,12782
5,국내도서,부의 시나리오,K342732290,9.79119E+12,3320,페이지2(page2),오건영 지음,"18,000","16,200","1,800",10%,900점,20210607,19256
6,국내도서,미드나잇 라이브러리,K962730610,9.79119E+12,3840,인플루엔셜(주),"매트 헤이그 지음, 노진선 옮김","15,800","14,220","1,580",10%,790점,20210428,49150
7,국내도서,요츠바랑! 15,K412732327,9.79114E+12,,대원씨아이(만화),아즈마 키요히코 지음,"5,200","4,680",520,10%,260점,20210628,10685
8,국내도서,매매의 기술,K652731246,9.79119E+12,3320,포레스트북스,박병창 지음,"18,000","16,200","1,800",10%,900점,20210514,16059
9,국내도서,그러라 그래 (양장),893498497X,9.78893E+12,3810,김영사,양희은 지음,"14,500","13,050","1,450",10%,720점,20210412,12617
10,국내도서,우리말 어감 사전,K722730620,9.79119E+12,3710,유유,안상순 지음,"17,000","15,300","1,700",10%,850점,20210504,25447
11,국내도서,고양이 해결사 깜냥 3,8936448013,9.78894E+12,74810,창비,"홍민정 지음, 김재희 그림","11,000","9,900","1,100",10%,550점,20210611,31974
12,국내도서,나의 히어로 아카데미아 30,K632732112,9.79114E+12,,서울미디어코믹스(서울문화사),호리코시 코헤이 지음,"5,000","4,500",500,10%,250점,20210625,7770
13,국내도서,달러구트 꿈 백화점 (50만 부 기념 드림 에디션),K432732493,9.79117E+12,,팩토리나인,이미예 지음,"13,800","12,420","1,380",10%,690점,20200708,131623
14,국내도서,강원국의 어른답게 말합니다,8901250012,9.7889E+12,3190,웅진지식하우스,강원국 지음,"16,000","14,400","1,600",10%,800점,20210526,9617
15,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,235731
16,국내도서,헤르만 헤세의 나무들,8936478699,9.78894E+12,3850,창비,"헤르만 헤세 지음, 안인희 옮김","14,000","12,600","1,400",10%,700점,20210601,7482
17,국내도서,명탐정 코난 99,K932732356,9.79114E+12,47830,서울미디어코믹스(서울문화사),아오야마 고쇼 지음,"5,500","4,950",550,10%,270점,20210723,7127
18,국내도서,문명 1,8932921032,9.78893E+12,4860,열린책들,"베르나르 베르베르 지음, 전미연 옮김","14,800","13,320","1,480",10%,740점,20210530,9242
19,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),8917232191,9.78892E+12,14740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20191216,63658
20,국내도서,청사과 낙원 시즌 2 : 1~3 세트 - 전3권,K692733478,9.79119E+12,7650,위즈덤하우스,청낙원 글.그림,"42,000","37,800","4,200",10%,"2,100점",20210714,5900
21,국내도서,어떻게 말해줘야 할까,8934986654,9.78893E+12,13590,김영사,"오은영 지음, 차상미 그림","17,500","15,750","1,750",10%,870점,20201025,69992
22,국내도서,문명 2,8932921040,9.78893E+12,4860,열린책들,"베르나르 베르베르 지음, 전미연 옮김","14,800","13,320","1,480",10%,740점,20210530,9007
23,국내도서,열혈강호 83,K192732448,9.79114E+12,,대원씨아이(만화),"전극진 지음, 양재현 그림","4,500","4,050",450,10%,220점,20210617,4342
24,국내도서,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K192738029,9.79117E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20210201,13080
25,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),8917232183,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20191216,57447
26,국내도서,인소의 법칙 16 (한정판),8926718808,9.78893E+12,480,(주)디앤씨미디어-잇북(It book),"유한려 지음, 솔 그림","18,500","16,650","1,850",10%,920점,20210630,1498
27,국내도서,사물의 뒷모습,K082730488,9.79119E+12,3810,현대문학,안규철 지음,"14,000","12,600","1,400",10%,700점,20210322,7389
