순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,작별인사,K122837904,9.79119E+12,3810,복복서가,김영하 지음,"14,000","12,600","1,400",10%,700점,20220502,111065
2,국내도서,역행자,8901260719,9.7889E+12,3320,웅진지식하우스,자청 지음,"17,500","15,750","1,750",10%,870점,20220603,174269
3,국내도서,감정 어휘,K872837046,9.79119E+12,3180,앤의서재,유선경 지음,"16,000","14,400","1,600",10%,800점,20220610,32532
4,국내도서,원피스 102,K442838282,9.79117E+12,,대원씨아이(만화),오다 에이치로 지음,"5,500","4,950",550,10%,270점,20220627,31502
5,국내도서,최재천의 공부,8934943459,9.78893E+12,3100,김영사,최재천.안희경 지음,"16,500","14,850","1,650",10%,820점,20220518,47708
6,국내도서,저만치 혼자서,8954686923,9.78895E+12,3810,문학동네,김훈 지음,"15,000","13,500","1,500",10%,750점,20220531,19313
7,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
8,국내도서,물고기는 존재하지 않는다,K092835920,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,256226
9,국내도서,스파이 패밀리 9,K312838181,9.79117E+12,,학산문화사(만화),엔도 타츠야 지음,"6,000","5,400",600,10%,300점,20220621,24788
10,국내도서,도쿄 에일리언즈 3 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),K392838991,,,서울미디어코믹스(서울문화사),"NAOE 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20220713,13805
11,국내도서,인플레이션에서 살아남기,K942837738,9.79119E+12,3320,페이지2(page2),오건영 지음,"18,800","16,920","1,880",10%,940점,20220523,28887
12,국내도서,세상의 마지막 기차역,K762837520,9.79119E+12,3830,모모,"무라세 다케시 지음, 김지연 옮김","14,000","12,600","1,400",10%,700점,20220511,56826
13,국내도서,설민석의 한국사 대모험 21,K192837057,9.79119E+12,74910,단꿈아이,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수","13,000","11,700","1,300",10%,650점,20220527,24928
14,국내도서,전지적 독자 시점 5,K762838461,9.79116E+12,,에이템포미디어,"슬리피-C 지음, 싱숑 원작, UMI 각색","15,000","13,500","1,500",10%,750점,20220608,11294
15,국내도서,우리 아기 오감발달 동물농장 사운드북,K162532536,8.80926E+12,1,어스본코리아,"샘 태플린 지음, 페데리카 아이오사 그림","19,000","15,200","3,800",20%,570점,20180411,73548
16,국내도서,도쿄 리벤저스 26,K232838889,9.79117E+12,,학산문화사(만화),와쿠이 켄 지음,"6,000","5,400",600,10%,300점,20220616,13485
17,국내도서,흔한남매 과학 탐험대 5 : 물리 1,8934940751,9.78893E+12,77400,주니어김영사,"김덕영 그림, 이현진 외 글, 김희목 감수, 김희목 외 기획, 흔한남매 원작","14,000","12,600","1,400",10%,700점,20220616,24478
18,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,235607
19,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
20,국내도서,변화하는 세계 질서,K892837234,9.79116E+12,3320,한빛비즈,"레이 달리오 지음, 송이루.조용빈 옮김","38,000","34,200","3,800",10%,"1,900점",20220601,29447
21,국내도서,기분을 관리하면 인생이 관리된다,K922837381,9.7912E+12,13810,클라우디아,김다슬 지음,"17,600","15,840","1,760",10%,880점,20220412,46866
22,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),891723853X,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,180570
23,국내도서,내가 틀릴 수도 있습니다,K822837807,9.79113E+12,3100,다산초당(다산북스),"비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김","16,000","14,400","1,600",10%,800점,20220418,43650
24,국내도서,2022 선재국어 군무원 대비 실전 봉투 모의고사,K562837540,9.79117E+12,13710,에스티유니타스,이선재.선재국어연구소 지음,"9,000","8,100",900,10%,90점,20220605,7509
25,국내도서,월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판),8925578158,9.78893E+12,3320,알에이치코리아(RHK),너나위 지음,"19,800","17,820","1,980",10%,990점,20220620,39783
26,국내도서,깨어있는 부모,K872837040,9.79119E+12,3180,나무의마음,"셰팔리 차바리 지음, 구미화 옮김","17,800","16,020","1,780",10%,890점,20220525,16801
27,국내도서,너무 잘하려고 애쓰지 마라,K702837352,9.79117E+12,3810,열림원,나태주 지음,"14,000","12,600","1,400",10%,700점,20220531,45775
28,국내도서,백년 허리 2 : 치료편,K272731146,9.7912E+12,3510,언탱글링,정선근 지음,"18,500","16,650","1,850",10%,920점,20210513,63993
29,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K682835821,9.79114E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20211209,77538
30,국내도서,디즈니 기묘한 소원 1 : 새로운 친구들,K642837711,9.79119E+12,73840,라곰,"베라 스트레인지 지음, 김미선 옮김","13,000","11,700","1,300",10%,650점,20220503,7466
31,국내도서,법륜 스님의 반야심경 강의,K222838984,9.79119E+12,3220,정토출판,법륜 지음,"19,500","17,550","1,950",10%,970점,20220630,26316
32,국내도서,디즈니 기묘한 소원 2 : 최고의 아이,K842837711,9.79119E+12,73840,라곰,"베라 스트레인지 지음, 이윤정 옮김","13,000","11,700","1,300",10%,650점,20220503,5869
33,국내도서,흔한남매의 흔한 호기심 6,K292837956,9.79117E+12,77400,미래엔아이세움,"안치현 지음, 유난희 그림, 이정모 외 감수, 흔한남매 원작","13,000","11,700","1,300",10%,650점,20220608,15583
34,국내도서,2022 제5회 한국과학문학상 수상작품집,K832837243,9.79119E+12,3810,허블,서윤빈 외 지음,"6,000","5,400",600,10%,300점,20220524,10959
35,국내도서,어느 날 공주가 되어버렸다 7 (루카스 아크릴 스탠드 + 퍼즐 + 초판 한정 부록 엽서 + 홀로그램 엽서 6종 포함 한정판),K192837252,9.79114E+12,4810,캐롯툰,"스푼 지음, 플루토스 원작","37,000","33,300","3,700",10%,"1,850점",20220927,10368
