순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,주택과 세금,K192739134,9.79116E+12,13320,DTW(더존테크윌),국세청 부동산납세과 지음,"7,000","7,000",0,0%,0점,20210303,8603
2,국내도서,질서 너머,8901249596,9.7889E+12,3180,웅진지식하우스,"조던 B. 피터슨 지음, 김한영 옮김","17,800","16,020","1,780",10%,890점,20210323,20752
3,국내도서,흔한남매 7,K602738939,9.79116E+12,77810,미래엔아이세움,"흔한남매 원작, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","12,000","10,800","1,200",10%,600점,20210311,20030
4,국내도서,이상한 과자 가게 전천당 10,K742739914,9.79116E+12,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200",10%,600점,20210308,11560
5,국내도서,달러구트 꿈 백화점,K392630952,9.79117E+12,3810,팩토리나인,이미예 지음,"13,800","12,420","1,380",10%,690점,20200708,122416
6,국내도서,설레는 건 많을수록 좋아,K342730798,9.79119E+12,3810,상상출판,김옥선 지음,"15,000","13,500","1,500",10%,750점,20210329,5648
7,국내도서,주술회전 13,K412739038,9.79114E+12,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","5,000","4,500",500,10%,250점,20210319,11875
8,국내도서,겁내지 않고 그림 그리는 법,K282730189,9.79119E+12,3600,미술문화,이연 지음,"15,000","13,500","1,500",10%,750점,20210324,8710
9,국내도서,주린이가 가장 알고 싶은 최다질문 TOP 77,K682737326,9.79116E+12,3320,메이트북스,염승환 지음,"18,000","16,200","1,800",10%,900점,20210120,27935
10,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,235731
11,국내도서,130층 나무 집,K212730984,9.79117E+12,74840,시공주니어,"앤디 그리피스 지음, 테리 덴톤 그림","12,000","10,800","1,200",10%,600점,20210330,10785
12,국내도서,공정하다는 착각,K092633826,9.79116E+12,3300,와이즈베리,"마이클 샌델 지음, 함규진 옮김","18,000","16,200","1,800",10%,900점,20201201,74892
13,국내도서,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K192738029,9.79117E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20210201,13080
14,국내도서,천문학자는 별을 보지 않는다,8954677258,9.78895E+12,3810,문학동네,심채경 지음,"15,000","13,500","1,500",10%,750점,20210222,38109
15,국내도서,마지막 몰입,K152738321,9.79116E+12,3190,비즈니스북스,"짐 퀵 지음, 김미정 옮김","16,800","15,120","1,680",10%,840점,20210223,27449
16,국내도서,"2021 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",K202738029,9.79117E+12,13910,이투스북,최태성 지음,"14,000","12,600","1,400",10%,700점,20210201,11965
17,국내도서,어린이라는 세계,K132633125,9.79116E+12,3810,사계절,김소영 지음,"15,000","13,500","1,500",10%,750점,20201116,72930
18,국내도서,푸른 사자 와니니 3,893644316X,9.78894E+12,73810,창비,"이현 지음, 오윤화 그림","10,800","9,720","1,080",10%,540점,20210219,24777
19,국내도서,모래알만 한 진실이라도,K642836467,9.78893E+12,3810,세계사,박완서 지음,"16,000","14,400","1,600",10%,800점,20201207,11736
20,국내도서,2021 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화(1.2.3급),K622736811,9.79117E+12,13910,이투스북,최태성 지음,"19,000","17,100","1,900",10%,950점,20201216,8937
21,국내도서,설민석의 한국사 대모험 16,K962739334,9.79117E+12,74910,아이휴먼,"설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수","12,000","10,800","1,200",10%,600점,20210330,11664
22,국내도서,어떻게 말해줘야 할까,8934986654,9.78893E+12,13590,김영사,"오은영 지음, 차상미 그림","17,500","15,750","1,750",10%,870점,20201025,69992
23,국내도서,2030 축의 전환,K262830490,9.7889E+12,3320,리더스북,"마우로 기옌 지음, 우진하 옮김","18,000","16,200","1,800",10%,900점,20201016,27088
24,국내도서,비극의 탄생,K572739237,9.79119E+12,3300,왕의서재,손병관 지음,"17,500","15,750","1,750",10%,870점,20210319,3509
25,국내도서,원피스 98,K192730191,9.79114E+12,,대원씨아이(만화),오다 에이치로 저자,"5,000","4,500",500,10%,250점,20210326,11829
26,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),8917232191,9.78892E+12,14740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20191216,63658
