순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","완전학습 바이블","K842632478","9791130631134","03370","다산에듀","임작가 지음","17,000","15,300","1,700","10%","850점","20200818","11992"
"2","국내도서","한번도 경험해보지 못한 나라","K472632709","9791190413152","03300","천년의상상","강양구 외 지음","17,800","16,020","1,780","10%","890점","20200825","10378"
"3","국내도서","살고 싶다는 농담","8901244608","9788901244600","03810","웅진지식하우스","허지웅 지음","16,000","14,400","1,600","10%","800점","20200812","12845"
"4","국내도서","돈의 속성","K562639753","9791188331796","03320","스노우폭스북스","김승호 지음","16,800","15,120","1,680","10%","840점","20200615","15764"
"5","국내도서","매우 예민한 사람들을 위한 책","K402730224","9788967358020","03180","글항아리","전홍진 지음","18,000","16,200","1,800","10%","170점","20200723","17889"
"6","국내도서","진짜 진짜 얼굴을 찾아서","K912631452","9791190908740","04810","위즈덤하우스","조용 지음, 잠산 그림","12,000","10,800","1,200","10%","600점","20200831","8711"
"7","국내도서","검찰개혁과 촛불시민","8997780409","9788997780402","03300","오마이북","조국백서추진위원회 지음","25,000","22,500","2,500","10%","1,250점","20200805","4198"
"8","국내도서","공부란 무엇인가","K422631839","9791190030632","03100","어크로스","김영민 지음","16,000","14,400","1,600","10%","800점","20200826","12440"
"9","국내도서","김미경의 리부트","8901243660","9788901243665","03320","웅진지식하우스","김미경 지음","16,000","14,400","1,600","10%","800점","20200701","17933"
"10","국내도서","어른의 어휘력","K102631725","9791190710053","03800","앤의서재","유선경 지음","16,500","14,850","1,650","10%","820점","20200815","13869"
"11","국내도서","트바로티, 김호중","K632631351","9791197023095","03810","스튜디오오드리","김호중 지음, 스토리베리 구성","17,000","15,300","1,700","10%","850점","20200814","3335"
"12","국내도서","이토록 공부가 재미있어지는 순간 (10만 부 기념 스페셜 에디션)","K302631614","9791130604626","13370","다산북스","박성혁 지음","15,000","13,500","1,500","10%","750점","20200727","16882"
"13","국내도서","강남 사장님","8949121921","9788949121925","74800","비룡소","이지음 지음, 국민지 그림","11,000","9,900","1,100","10%","550점","20200717","16581"
"14","국내도서","부의 대이동","K922631278","9791196831080","03320","페이지2(page2)","오건영 지음","17,000","15,300","1,700","10%","850점","20200723","15335"
"15","국내도서","심판","8932920400","9788932920405","03860","열린책들","베르나르 베르베르 지음, 전미연 옮김","14,800","13,320","1,480","10%","740점","20200830","24939"
"16","국내도서","2021 전한길 한국사 합격생 필기노트 (10쇄)","K422631618","9791197133503","13910","전한길한국사","전한길 지음","14,000","12,600","1,400","10%","700점","20210210","8850"
"17","국내도서","이토록 멋진 곤충","K952631516","9791189723132","73490","단추","안네 스베르드루프-튀게손 지음, 니나 마리 앤더슨 그림, 조은영 옮김, 최재천 감수","17,000","15,300","1,700","10%","850점","20200724","6448"
"18","국내도서","시선으로부터,","K852734218","9788954672214","03810","문학동네","정세랑 지음","14,000","12,600","1,400","10%","700점","20200605","44066"
"19","국내도서","더 해빙","K022637311","9791190382175","03320","수오서재","이서윤.홍주연 지음","16,000","14,400","1,600","10%","800점","20200301","25126"
"20","국내도서","노화의 종말","8960518026","9788960518025","03510","부키","데이비드 A. 싱클레어.매슈 D. 러플랜트 지음, 이한음 옮김","22,000","19,800","2,200","10%","1,100점","20200730","20760"
"21","국내도서","지박소년 하나코 군 11","K482632578","9791130799742","","루트미디어","아이다이로 지음","5,500","4,950","550","10%","270점","20200827","2964"
"22","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","234600"
