순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
"1","국내도서","날씨가 좋으면 찾아가겠어요 (드라마 방영 기념 한정판)","8952753941","9788952753946","04810","시공사","이도우 지음","13,800","12,420","1,380","10%","690점","20200201","12242"
"2","국내도서","설민석의 한국사 대모험 13","K662638920","9791165382650","74910","아이휴먼","설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수","12,000","10,800","1,200","10%","600점","20200323","12005"
"3","국내도서","녹나무의 파수꾼","K362638685","9791165075064","03830","㈜소미미디어","히가시노 게이고 지음, 양윤옥 옮김","17,800","16,020","1,780","10%","890점","20200317","12649"
"4","국내도서","흔한남매 4","K992638123","9791164134847","77810","미래엔아이세움","흔한남매 원작, 백난도 글, 유난희 그림, 샌드박스 네트워크 감수","12,000","10,800","1,200","10%","600점","20200326","19838"
"5","국내도서","페스트","8937462672","9788937462672","04800","민음사","알베르 카뮈 지음, 김화영 옮김","14,000","12,600","1,400","10%","700점","20110325","33799"
"6","국내도서","작은 아씨들 (영화 공식 원작 소설·오리지널 커버)","8925568586","9788925568584","03840","알에이치코리아(RHK)","루이자 메이 올콧 지음, 강미경 옮김","18,000","16,200","1,800","10%","900점","20200212","13785"
"7","국내도서","꽝 없는 뽑기 기계","8949162024","9788949162027","74800","비룡소","곽유진 지음, 차상미 그림","10,000","9,000","1,000","10%","500점","20200301","14858"
"8","국내도서","당신이 옳다","K472830359","9788965746669","03180","해냄","정혜신 지음","15,800","14,220","1,580","10%","790점","20181010","46218"
"9","국내도서","하버드 상위 1퍼센트의 비밀 (리커버 에디션)","K722739037","9788947544085","03320","한국경제신문","정주영 지음","16,000","14,400","1,600","10%","800점","20181017","12864"
"10","국내도서","해커스 토익 기출 보카 TOEIC VOCA 단어장","8965422787","9788965422785","13740","해커스어학연구소(Hackers)","데이빗 조 (David Cho) 지음","12,900","11,610","1,290","10%","640점","20190102","234600"
"11","국내도서","1cm 다이빙","K012636849","9791190299060","03810","FIKA(피카)","태수.문정 지음","13,500","12,150","1,350","10%","670점","20200121","10513"
"12","국내도서","이상한 과자 가게 전천당 5","K522638585","9791164062065","74830","길벗스쿨","히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200","10%","600점","20200320","13260"
"13","국내도서","이상한 과자 가게 전천당 6","K692638585","9791164062072","74830","길벗스쿨","히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200","10%","600점","20200320","12822"
"14","국내도서","원피스 95","K212638327","9791136225603","","대원씨아이(만화)","오다 에이치로 저자","5,000","4,500","500","10%","250점","20200319","9346"
"15","국내도서","이게 정말 마음일까?","8934999268","9788934999263","77830","주니어김영사","요시타케 신스케 지음, 양지연 옮김","13,000","11,700","1,300","10%","650점","20200224","10852"
"16","국내도서","타인의 해석","8934985747","9788934985747","03190","김영사","말콤 글래드웰 지음, 유강은 옮김, 김경일 감수","18,500","16,650","1,850","10%","920점","20200320","9889"
"17","국내도서","지적 대화를 위한 넓고 얕은 지식 : 제로 편","K622636607","9791190313131","03100","웨일북","채사장 지음","19,800","17,820","1,980","10%","990점","20191224","61240"
"18","국내도서","내일의 부 1 : 알파편","K232636430","9791187993681","03320","트러스트북스","김장섭 지음","16,000","14,400","1,600","10%","800점","20200116","7572"
"19","국내도서","우리가 인생이라 부르는 것들","K242637915","9791189995539","03810","인플루엔셜(주)","정재찬 지음","16,000","14,400","1,600","10%","800점","20200225","10122"
"20","국내도서","오늘 밤은 굶고 자야지","K562638684","9791160403640","03810","한겨레출판","박상영 지음","13,500","12,150","1,350","10%","670점","20200316","4883"
"21","국내도서","우리가 빛의 속도로 갈 수 없다면","K462635914","9791190090018","03810","허블","김초엽 지음","14,000","12,600","1,400","10%","700점","20190624","67630"
"22","국내도서","존리의 부자되기 습관","K772636937","9791187481720","13320","지식노마드","존 리 지음","15,000","13,500","1,500","10%","750점","20200115","6552"
"23","국내도서","더 해빙","K022637311","9791190382175","03320","수오서재","이서윤.홍주연 지음","16,000","14,400","1,600","10%","800점","20200301","25126"
"24","국내도서","이 한마디가 나를 살렸다","8950986914","9788950986919","03320","21세기북스","김미경 지음","19,800","17,820","1,980","10%","990점","20200311","6383"
"25","국내도서","흔한남매 안 흔한 일기 1","K012637918","9791164134649","74810","미래엔아이세움","흔한남매 지음, 조병주 그림, 강효미 글, 샌드박스 네트워크 감수","12,000","10,800","1,200","10%","600점","20200227","6502"
"26","국내도서","미국식 영작문 수업","K032637693","9791157685844","13740","동양북스(동양문고)","최정숙 지음","14,500","13,050","1,450","10%","720점","20200204","9901"
"27","국내도서","펭수, 디 오리지널","8954752705","9788954752701","03680","EBS BOOKS","EBS 지음","18,000","16,200","1,800","10%","900점","20200410","3200"
"28","국내도서","세계사를 한눈에 꿰뚫는 대단한 지리","8949189542","9788949189543","73900","비룡소","팀 마샬 지음, 그레이스 이스턴 외 그림, 서남희 옮김","18,000","16,200","1,800","10%","900점","20200225","10834"
"29","국내도서","내일의 부 2 : 오메가편","K432636430","9791187993698","03320","트러스트북스","김장섭 지음","16,000","14,400","1,600","10%","800점","20200129","6228"
"30","국내도서","방구석 미술관 (아티스트 하우스 에디션)","K912639282","9788968331862","03600","블랙피쉬","조원재 지음","16,800","15,120","1,680","10%","840점","20180803","16346"
"31","국내도서","페스트 (무선)","8954638899","9788954638890","04860","문학동네","알베르 카뮈 지음, 유호식 옮김","14,000","12,600","1,400","10%","700점","20151226","8230"
"32","국내도서","하루 3줄 초등 글쓰기의 기적","K812636847","9791188700592","13590","청림Life","윤희솔 지음","14,500","13,050","1,450","10%","720점","20200205","5783"
"33","국내도서","사서함 110호의 우편물","8952782070","9788952782076","04810","시공사","이도우 지음","13,000","11,700","1,300","10%","650점","20160318","15128"
"34","국내도서","설민석의 삼국지 1","8933870792","9788933870792","04000","세계사","설민석 지음","22,000","19,800","2,200","10%","1,100점","20190717","16066"
"35","국내도서","코스모스","8983711892","9788983711892","03400","사이언스북스","칼 세이건 지음, 홍승수 옮김","19,900","17,910","1,990","10%","990점","20061220","132562"
"36","국내도서","좀비고등학교 코믹스 17","K852638483","9791188380640","77800","겜툰","유대영 지음, 라임스튜디오 그림","9,800","8,820","980","10%","490점","20200310","5199"
"37","국내도서","지적 대화를 위한 넓고 얕은 지식 1","K992636841","9791190313186","03100","웨일북","채사장 지음","16,000","14,400","1,600","10%","800점","20200201","85305"
"38","국내도서","팩트풀니스","8934985062","9788934985068","03300","김영사","한스 로슬링.올라 로슬링.안나 로슬링 뢴룬드 지음, 이창신 옮김","19,800","17,820","1,980","10%","990점","20190308","45517"
"39","국내도서","아직 멀었다는 말","8954670636","9788954670630","03810","문학동네","권여선 지음","13,500","12,150","1,350","10%","670점","20200214","6312"
"40","국내도서","귀찮지만 행복해 볼까","K882637311","9791189856847","03810","상상출판","권남희 지음","13,800","12,420","1,380","10%","690점","20200302","3495"
"41","국내도서","혼돈의 시대 리더의 탄생","K682638681","9791135459757","","커넥팅(Connecting)","도리스 키언스 굿윈 지음, 강주헌 옮김","26,800","24,120","2,680","10%","1,340점","20200304","9333"
"42","국내도서","아내를 모자로 착각한 남자","K052535697","9791159920257","03400","알마","올리버 색스 지음, 조석현 옮김, 이정호 그림","21,000","18,900","2,100","10%","1,050점","20160818","27827"
"43","국내도서","설민석의 삼국지 2","8933870830","9788933870839","04000","세계사","설민석 지음","22,000","19,800","2,200","10%","1,100점","20190820","13681"
"44","국내도서","총 균 쇠 (무선 제작)","8970127240","9788970127248","03900","문학사상","제레드 다이아몬드 지음, 김진준 옮김","28,000","25,200","2,800","10%","1,400점","20051219","92365"
"45","국내도서","열 문장 쓰는 법","K952637417","9791189683337","04800","유유","김정선 지음","10,000","9,000","1,000","10%","500점","20200304","5668"
"46","국내도서","내가 원하는 것을 나도 모를 때","K182636731","9791130627878","03810","다산초당(다산북스)","전승환 지음","16,000","14,400","1,600","10%","800점","20200108","9689"
"47","국내도서","재무제표 모르면 주식투자 절대로 하지마라","K042636037","9791190242271","13320","베가북스","사경인 지음","19,800","17,820","1,980","10%","990점","20200110","20432"
