순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,2021 제12회 젊은작가상 수상작품집,8954678408,9.78895E+12,3810,문학동네,전하영 외 지음,"14,000","12,600","1,400",10%,700점,20210407,22232
2,국내도서,주술회전 14,K022730409,9.79114E+12,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","5,000","4,500",500,10%,250점,20210424,10890
3,국내도서,귀멸의 칼날 23,K282730713,9.79113E+12,,학산문화사(만화),고토게 코요하루 지음,"5,000","4,500",500,10%,250점,20210421,12308
4,국내도서,달까지 가자,8936434497,9.78894E+12,3810,창비,장류진 지음,"14,000","12,600","1,400",10%,700점,20210415,9307
5,국내도서,질서 너머,8901249596,9.7889E+12,3180,웅진지식하우스,"조던 B. 피터슨 지음, 김한영 옮김","17,800","16,020","1,780",10%,890점,20210323,20752
6,국내도서,달러구트 꿈 백화점,K392630952,9.79117E+12,3810,팩토리나인,이미예 지음,"13,800","12,420","1,380",10%,690점,20200708,122416
7,국내도서,밤을 걷는 밤,K582730811,9.79119E+12,3810,위즈덤하우스,유희열.카카오엔터테인먼트 지음,"15,000","13,500","1,500",10%,750점,20210415,4935
8,국내도서,룬의 아이들 - 블러디드 4,8954678769,9.78895E+12,4810,엘릭시르,전민희 지음,"14,500","13,050","1,450",10%,720점,20210426,5701
9,국내도서,설민석의 한국사 대모험 16,K962739334,9.79117E+12,74910,아이휴먼,"설민석.스토리박스 지음, 정현희 그림, 태건 역사 연구소 감수","12,000","10,800","1,200",10%,600점,20210330,11664
10,국내도서,애린 왕자,K062737858,9.7912E+12,,이팝,"앙투안 드 생텍쥐페리 저자, 최현애 역자","11,000","9,900","1,100",10%,550점,20210105,18477
11,국내도서,주택과 세금,K192739134,9.79116E+12,13320,DTW(더존테크윌),국세청 부동산납세과 지음,"7,000","7,000",0,0%,0점,20210303,8603
12,국내도서,어린이라는 세계 (리커버),K242730307,9.79116E+12,3810,사계절,김소영 지음,"15,000","13,500","1,500",10%,750점,20201116,77253
13,국내도서,틴틴팅클!,8927812123,9.78893E+12,7650,중앙books(중앙북스),난 지음,"16,800","15,120","1,680",10%,840점,20210419,11550
14,국내도서,클라라와 태양,8937417561,9.78894E+12,3840,민음사,"가즈오 이시구로 지음, 홍한별 옮김","17,000","15,300","1,700",10%,850점,20210329,11512
15,국내도서,괴물 3 : 시크릿 작가 노트,K872730203,9.79119E+12,3810,북로그컴퍼니,김수진 지음,"18,000","16,200","1,800",10%,900점,20210510,3852
16,국내도서,주린이가 가장 알고 싶은 최다질문 TOP 77,K682737326,9.79116E+12,3320,메이트북스,염승환 지음,"18,000","16,200","1,800",10%,900점,20210120,27935
17,국내도서,130층 나무 집,K212730984,9.79117E+12,74840,시공주니어,"앤디 그리피스 지음, 테리 덴톤 그림","12,000","10,800","1,200",10%,600점,20210330,10785
