순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,물고기는 존재하지 않는다,K092835920,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,256226
2,국내도서,불편한 편의점,K582730818,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,74908
3,국내도서,도쿄 에일리언즈 1,K892836594,9.79114E+12,,서울미디어코믹스(서울문화사),"NAOE 지음, 박소현 옮김","5,000","4,500",500,10%,250점,20220228,31807
4,국내도서,윤석열 X파일,K712836673,9.7912E+12,3340,열린공감TV,열린공감TV 취재팀 지음,"16,000","14,400","1,600",10%,800점,20220204,36796
5,국내도서,세븐 테크,8901255715,9.7889E+12,3320,웅진지식하우스,김미경 외 지음,"18,000","16,200","1,800",10%,900점,20220210,23983
6,국내도서,웰씽킹 WEALTHINKING (양장),K852835990,9.79113E+12,3190,다산북스,켈리 최 지음,"16,000","14,400","1,600",10%,800점,20211110,108277
7,국내도서,"어서 오세요, 휴남동 서점입니다",K362836265,9.7912E+12,3810,클레이하우스,황보름 지음,"15,000","13,500","1,500",10%,750점,20220117,66324
8,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
9,국내도서,도쿄 리벤저스 22,K602836117,9.79113E+12,,학산문화사(만화),와쿠이 켄 지음,"5,000","4,500",500,10%,250점,20220218,13830
10,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),891723853X,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,180570
11,국내도서,도쿄 리벤저스 21,K662836117,9.79113E+12,,학산문화사(만화),와쿠이 켄 지음,"5,000","4,500",500,10%,250점,20220218,13510
12,국내도서,이상한 과자 가게 전천당 13,K332836361,9.79116E+12,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","12,000","10,800","1,200",10%,600점,20220124,30033
13,국내도서,얼굴만으론 좋아할 수 없어요 2,K392836702,9.79114E+12,,서울미디어코믹스(서울문화사),"안자이 카린 지음, 이소연 옮김","5,500","4,950",550,10%,270점,20220228,16478
14,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,235607
15,국내도서,진짜 쓰는 실무 엑셀,K152836497,9.79119E+12,13000,제이펍,오빠두(전진권) 지음,"21,000","18,900","2,100",10%,"1,050점",20220215,79434
16,국내도서,우리는 여전히 삶을 사랑하는가,8934949678,9.78893E+12,3180,김영사,"에리히 프롬 지음, 라이너 풍크 엮음, 장혜경 옮김","15,800","14,220","1,580",10%,790점,20220211,31220
17,국내도서,"돈, 뜨겁게 사랑하고 차갑게 다루어라",8959893544,9.78896E+12,4320,미래의창,"앙드레 코스톨라니 지음, 한윤진 옮김","12,000","10,800","1,200",10%,600점,20150930,80309
18,국내도서,그 해 우리는 1,8934952318,9.78893E+12,4810,김영사,이나은 지음,"18,500","16,650","1,850",10%,920점,20220216,35659
19,국내도서,그 해 우리는 2,8934952326,9.78893E+12,4810,김영사,이나은 지음,"18,500","16,650","1,850",10%,920점,20220216,35062
20,국내도서,돈의 심리학 (10만 부 기념 골드 에디션),K692836983,9.79119E+12,3320,인플루엔셜(주),"모건 하우절 지음, 이지연 옮김","19,800","17,820","1,980",10%,990점,20210113,38054
21,국내도서,이어령의 마지막 수업,K762835176,9.79117E+12,3100,열림원,"김지수 지음, 이어령","16,500","14,850","1,650",10%,820점,20211027,99467
22,국내도서,호호호,8960907243,9.78896E+12,3810,마음산책,윤가은 지음,"13,500","12,150","1,350",10%,670점,20220205,13655
23,국내도서,만화로 배우는 조선 왕실의 신화,K252836718,9.79116E+12,3900,한빛비즈,"우용곡 지음, 전인혁 감수","19,800","17,820","1,980",10%,990점,20220218,9678
24,국내도서,고양이 해결사 깜냥 4,8936448137,9.78894E+12,74810,창비,"홍민정 지음, 김재희 그림","11,000","9,900","1,100",10%,550점,20220121,46901
25,국내도서,예의 없는 친구들을 대하는 슬기로운 말하기 사전,K682835052,9.79116E+12,73180,사계절,"김원아 지음, 김소희 그림","13,000","11,700","1,300",10%,650점,20220113,41540
26,국내도서,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),K162532501,9.79116E+12,3320,민음인,"로버트 기요사키 지음, 안진환 옮김","17,000","15,300","1,700",10%,850점,20180222,128572
27,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K682835821,9.79114E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20211209,77538
