순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,하얼빈,895469991X,9.78895E+12,3810,문학동네,김훈 지음,"16,000","14,400","1,600",10%,800점,20220803,149428
2,국내도서,불편한 편의점 2,K432838027,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20220810,65120
3,국내도서,헤어질 결심 각본,8932474753,9.78893E+12,3680,을유문화사,박찬욱.정서경 지음,"15,000","13,500","1,500",10%,750점,20220805,121092
4,국내도서,파친코 2,K192838537,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220825,92942
5,국내도서,파친코 1,K202838509,9.79117E+12,4840,인플루엔셜(주),"이민진 지음, 신승미 옮김","15,800","14,220","1,580",10%,790점,20220727,99592
6,국내도서,계속 가보겠습니다,K282838912,9.79116E+12,3330,메디치미디어,임은정 지음,"18,000","16,200","1,800",10%,900점,20220722,49937
7,국내도서,불편한 편의점 (벚꽃 에디션),K192836746,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,547682
8,국내도서,이상한 변호사 우영우 1,893494238X,9.78893E+12,4810,김영사,문지원 지음,"19,800","17,820","1,980",10%,990점,20220915,16450
9,국내도서,이상한 변호사 우영우 2,8934942398,9.78893E+12,4810,김영사,문지원 지음,"19,800","17,820","1,980",10%,990점,20220915,15915
10,국내도서,야쿠자의 덕질 1,K352838627,9.79114E+12,7830,㈜소미미디어,"야츠다 테키 지음, 박연지 옮김","6,000","5,400",600,10%,300점,20220812,29423
11,국내도서,흔한남매 11,K652838723,9.79117E+12,77810,미래엔아이세움,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","14,500","13,050","1,450",10%,720점,20220728,39363
12,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),8917238548,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,195047
13,국내도서,명탐정 코난 101,K292839269,9.79114E+12,,서울미디어코믹스(서울문화사),아오야마 고쇼 지음,"5,500","4,950",550,10%,270점,20220825,20092
14,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),891723853X,9.78892E+12,13740,(주)YBM(와이비엠),ETS 엮음,"17,800","16,020","1,780",10%,890점,20211213,180570
15,국내도서,트로피컬 나이트,K962838741,9.79116E+12,3810,한겨레출판,조예은 지음,"15,000","13,500","1,500",10%,750점,20220817,22011
16,국내도서,튜브,8936434624,9.78894E+12,3810,창비,손원평 지음,"15,000","13,500","1,500",10%,750점,20220722,25098
17,국내도서,데미안 (오리지널 초판본 표지디자인),K042535550,9.79119E+12,4850,코너스톤,"헤르만 헤세 지음, 이미영 옮김, 김선형","3,300","2,970",330,10%,160점,20170101,69098
18,국내도서,삶의 격,8956608075,9.78896E+12,3100,은행나무,"페터 비에리 지음, 문항심 옮김","16,000","14,400","1,600",10%,800점,20141017,28475
19,국내도서,도쿄 리벤저스 27,K582838140,9.79117E+12,,학산문화사(만화),와쿠이 켄 지음,"6,000","5,400",600,10%,300점,20220812,13137
20,국내도서,괴수 8호 7 (일러스트 카드 2종 + 스페셜 일러스트 카드 포함 특장판),K812838531,,,서울미디어코믹스(서울문화사),"마츠모토 나오야 지음, 유유리 옮김","6,000","5,400",600,10%,300점,20220830,9543
21,국내도서,전지적 독자 시점 6,K092838639,9.79116E+12,7810,에이템포미디어,"슬리피-C 지음, 싱숑 원작, UMI 각색","15,000","13,500","1,500",10%,750점,20220810,10061
22,국내도서,열혈강호 86,K342838456,9.79117E+12,,대원씨아이(만화),"전극진 지음, 양재현 그림","5,500","4,950",550,10%,270점,20220824,13393
23,국내도서,하쿠다 사진관,K462838212,9.79113E+12,3810,놀,허태연 지음,"15,500","13,950","1,550",10%,770점,20220718,10355
24,국내도서,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9.78897E+12,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,"12,900","11,610","1,290",10%,640점,20190102,235607
25,국내도서,물고기는 존재하지 않는다,K092835920,9.79119E+12,3400,곰출판,"룰루 밀러 지음, 정지인 옮김","17,000","15,300","1,700",10%,850점,20211217,256226
26,국내도서,우리는 어디서 살아야 하는가,K602838216,9.79119E+12,3320,포레스트북스,김시덕 지음,"18,000","16,200","1,800",10%,900점,20220720,19231
27,국내도서,세상의 마지막 기차역,K762837520,9.79119E+12,3830,모모,"무라세 다케시 지음, 김지연 옮김","14,000","12,600","1,400",10%,700점,20220511,56826
28,국내도서,푸른 사자 와니니 4,8936443259,9.78894E+12,73810,창비,"이현 지음, 오윤화 그림","12,000","10,800","1,200",10%,600점,20220819,25211
29,국내도서,유럽 도시 기행 2,8965137705,9.78897E+12,3900,생각의길,유시민 지음,"17,500","15,750","1,750",10%,870점,20220709,36874
30,국내도서,그릿 GRIT (100쇄 기념 리커버 에디션),K102534140,9.79116E+12,3190,비즈니스북스,"앤절라 더크워스 지음, 김미정 옮김","16,000","14,400","1,600",10%,800점,20190220,58890
31,국내도서,묘사하는 마음,8960907510,9.78896E+12,3810,마음산책,김혜리 지음,"18,000","16,200","1,800",10%,900점,20220805,10931
32,국내도서,아라의 소설,K172838246,9.7912E+12,3810,안온북스,정세랑 지음,"15,000","13,500","1,500",10%,750점,20220824,15067
33,국내도서,원씽 The One Thing (리커버 특별판),8997575163,9.789E+12,"13190
",비즈니스북스,"게리 켈러 & 제이 파파산 지음, 구세희 옮김","14,000","12,600","1,400",10%,700점,20130820,137566
34,국내도서,푸른 사자 와니니 5,8936443267,9.78894E+12,73810,창비,"이현 지음, 오윤화 그림","12,000","10,800","1,200",10%,600점,20220819,24246
35,국내도서,작별인사,K122837904,9.79119E+12,3810,복복서가,김영하 지음,"14,000","12,600","1,400",10%,700점,20220502,111065
36,국내도서,도올주역강해,898264153X,9.78898E+12,3140,통나무,김용옥 지음,"39,000","35,100","3,900",10%,"1,950점",20220725,15937
37,국내도서,설민석의 한국사 대모험 22,K442839462,9.79119E+12,74910,단꿈아이,"설민석.스토리박스 지음, 정현희 그림, 강석화 감수","13,000","11,700","1,300",10%,650점,20220829,24660
38,국내도서,역행자 (10만 부 기념 페이크 에디션),K812839585,9.7889E+12,3320,웅진지식하우스,자청 지음,"17,500","15,750","1,750",10%,870점,20220603,14305
39,국내도서,기분을 관리하면 인생이 관리된다,K922837381,9.7912E+12,13810,클라우디아,김다슬 지음,"17,600","15,840","1,760",10%,880점,20220412,46866
40,국내도서,미키7,K202838025,9.79117E+12,3840,황금가지,"에드워드 애슈턴 지음, 배지혜 옮김","15,000","13,500","1,500",10%,750점,20220722,16027
41,국내도서,마법천자문 54,8950922959,9.78895E+12,77720,아울북,"유대영 지음, 정수영 그림, 강용철 감수","14,000","12,600","1,400",10%,700점,20220829,17356
42,국내도서,먼작귀 2 (그림책 포함 특별판),K702838056,9.79117E+12,,미우(대원씨아이),나가노 지음,"18,000","16,200","1,800",10%,900점,20220831,10381
43,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",K682835821,9.79114E+12,13910,이투스북,최태성 지음,"15,000","13,500","1,500",10%,750점,20211209,77538
44,국내도서,긴긴밤,K612731543,9.78895E+12,73810,문학동네,루리 지음,"11,500","10,350","1,150",10%,570점,20210203,222242
45,국내도서,어린이를 위한 역사의 쓸모 1,K932838831,9.79113E+12,73910,다산어린이,"최태성 지음, 신진호 그림","15,000","13,500","1,500",10%,750점,20220815,18938
46,국내도서,밥 프록터 부의 확신,K342838694,9.79116E+12,3190,비즈니스북스,"밥 프록터 지음, 김문주 옮김","16,000","14,400","1,600",10%,800점,20220712,24449
47,국내도서,최재천의 공부,8934943459,9.78893E+12,3100,김영사,최재천.안희경 지음,"16,500","14,850","1,650",10%,820점,20220518,47708
48,국내도서,최소한의 이웃,8934942401,9.78893E+12,3810,김영사,허지웅 지음,"15,800","14,220","1,580",10%,790점,20220822,17198
49,국내도서,거의 모든 행동 표현의 영어,8960499374,9.78896E+12,14740,사람in,서영조 지음,"16,000","14,400","1,600",10%,800점,20220310,54448
50,국내도서,귀멸의 칼날 : 공식 팬북 귀살대 견문록 2,K822839360,9.79117E+12,,학산문화사(만화),고토게 코요하루 지음,"9,500","8,550",950,10%,470점,20220826,7829
51,국내도서,너무 잘하려고 애쓰지 마라,K702837352,9.79117E+12,3810,열림원,나태주 지음,"14,000","12,600","1,400",10%,700점,20220531,45775
52,국내도서,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),K162532501,9.79116E+12,3320,민음인,"로버트 기요사키 지음, 안진환 옮김","17,000","15,300","1,700",10%,850점,20180222,128572
53,국내도서,키득키득 사운드북 : 동물 오케스트라,K582637313,8.80926E+12,1,어스본코리아,"샘 태플린 지음, 가레스 루카스 그림, 앤서니 마크스 음악","13,800","11,040","2,760",20%,410점,20200225,61477
54,국내도서,눈물 한 방울,8934961570,9.78893E+12,3800,김영사,이어령 지음,"15,800","14,220","1,580",10%,790점,20220630,21244
55,국내도서,"오늘 밤, 세계에서 이 눈물이 사라진다 해도",K472838820,9.79119E+12,3830,모모,"이치조 미사키 지음, 김윤경 옮김","14,000","12,600","1,400",10%,700점,20220728,46346
56,국내도서,알고 있다는 착각,K742838937,9.79117E+12,3320,어크로스,"질리언 테트 지음, 문희경 옮김","17,800","16,020","1,780",10%,890점,20220810,11252
57,국내도서,딜레마 사전,K382838633,9.79116E+12,3600,윌북,"안젤라 애커만.베카 푸글리시 지음, 오수원 옮김","22,000","19,800","2,200",10%,"1,100점",20220826,17025
58,국내도서,범죄도시 2 액션북 (시나리오 + 포토 스토리보드),K702838533,9.79116E+12,3810,윌북아트,"김민성 각본, 이상용 감독, 이상용 외 각색","33,000","29,700","3,300",10%,"1,650점",20220912,5154
59,국내도서,"2022 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",K762835821,9.79114E+12,13910,이투스북,최태성 지음,"14,500","13,050","1,450",10%,720점,20211209,70781
60,국내도서,아이다이로 화집 지박소년 하나코 군 2,K512838930,9.79114E+12,4830,서울미디어코믹스(서울문화사),"아이다이로 지음, 장혜영 옮김","18,000","16,200","1,800",10%,900점,20220826,5536
61,국내도서,책 먹는 여우의 여름 이야기,8934951052,9.78893E+12,73850,주니어김영사,"프란치스카 비어만 지음, 송순섭 옮김","13,000","11,700","1,300",10%,650점,20220718,9561
62,국내도서,월급쟁이 부자로 은퇴하라 (10만 부 돌파 기념 증보판),8925578158,9.78893E+12,3320,알에이치코리아(RHK),너나위 지음,"19,800","17,820","1,980",10%,990점,20220620,39783
63,국내도서,새벽의 연화 37,K682838636,9.79117E+12,,학산문화사(만화),"쿠사나기 미즈호 지음, 이상은 옮김","6,000","5,400",600,10%,300점,20220810,7884
64,국내도서,쇼타 형아 1,K022838634,9.79114E+12,,서울미디어코믹스(서울문화사),"나카야마 미유키 지음, 심이슬 옮김","6,500","5,850",650,10%,320점,20220830,13117
65,국내도서,Go Go 카카오프렌즈 25 : 네덜란드,8950903474,9.78895E+12,74900,아울북,"김미영 지음, 김정한 그림","14,800","13,320","1,480",10%,740점,20220824,11787
66,국내도서,부의 추월차선 (10주년 스페셜 에디션),K352836574,9.79119E+12,13320,토트,"엠제이 드마코 지음, 신소영 옮김","17,500","15,750","1,750",10%,870점,20220204,67304
67,국내도서,EBS 왕초보 영어 (2022 하편),8954767222,9.78895E+12,13740,한국교육방송공사(기타),"EBS 기획, 마스터유진 지음","12,000","10,800","1,200",10%,600점,20220707,6715
68,국내도서,채사장의 지대넓얕 4 : 보이지 않는 손,K132838145,9.7912E+12,,돌핀북,"채사장.마케마케 지음, 정용환 그림","15,000","13,500","1,500",10%,750점,20220820,20592
69,국내도서,마법천자문 53,895090313X,9.78895E+12,77720,아울북,"유대영 지음, 홍거북 그림, 김창환 감수","14,000","12,600","1,400",10%,700점,20220712,19084
70,국내도서,재수사 1,K832838348,9.79117E+12,4810,은행나무,장강명 지음,"16,000","14,400","1,600",10%,800점,20220822,11290
71,국내도서,내가 틀릴 수도 있습니다,K822837807,9.79113E+12,3100,다산초당(다산북스),"비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김","16,000","14,400","1,600",10%,800점,20220418,43650
72,국내도서,이상한 과자 가게 전천당 15,K662838597,9.79116E+12,74830,길벗스쿨,"히로시마 레이코 지음, 쟈쟈 그림, 김정화 옮김","13,000","11,700","1,300",10%,650점,20220711,24671
73,국내도서,부자의 그릇,K002736337,9.79113E+12,13320,다산북스,"이즈미 마사토 지음, 김윤수 옮김","15,000","13,500","1,500",10%,750점,20201214,45186
74,국내도서,SQL 자격검정 실전문제,8988474848,9.78899E+12,13000,한국데이터산업진흥원,한국데이터진흥원 지음,"18,000","18,000",0,0%,0점,20200511,54752
75,국내도서,문호 스트레이독스 22,K782838452,9.79114E+12,7830,영상출판미디어(주),"아사기리 카프카 지음, 하루카와 산고 그림, 문기업 옮김","5,500","4,950",550,10%,270점,20220906,10805
76,국내도서,시민의 한국사 1,K102838576,9.79119E+12,4910,돌베개,한국역사연구회 지음,"38,000","34,200","3,800",10%,"1,900점",20220624,16568
77,국내도서,기브앤테이크 Give and Take,8962605813,9.78896E+12,13320,생각연구소,"애덤 그랜트 지음, 윤태준 옮김","17,500","15,750","1,750",10%,870점,20130607,32120
78,국내도서,시민의 한국사 2,K892838576,9.79119E+12,4910,돌베개,한국역사연구회 지음,"38,000","34,200","3,800",10%,"1,900점",20220624,15785
79,국내도서,자유죽음,K342838124,9.79117E+12,3100,위즈덤하우스,"장 아메리 지음, 김희상 옮김","18,000","16,200","1,800",10%,900점,20220727,6899
