순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,흔한남매 9,K962835911,9.79116E+12,77810,미래엔아이세움,"흔한남매 지음, 유난희 그림, 백난도 글, 흔한컴퍼니 감수","13,500","12,150","1,350",10%,670점,20211209,46631
2,국내도서,웰씽킹 WEALTHINKING (양장),K852835990,9.79113E+12,3190,다산북스,켈리 최 지음,"16,000","14,400","1,600",10%,800점,20211110,109621
3,국내도서,거꾸로 읽는 세계사,K502835770,9.79119E+12,3900,돌베개,유시민 지음,"17,500","15,750","1,750",10%,870점,20211029,78881
4,국내도서,한 게으른 시인의 이야기,K162835916,9.79119E+12,3810,난다,최승자 지음,"13,000","11,700","1,300",10%,650점,20211130,38276
5,국내도서,트렌드 코리아 2022,8959897000,9.78896E+12,13320,미래의창,김난도 외 지음,"18,000","16,200","1,800",10%,900점,20211006,58094
6,국내도서,불편한 편의점,K582730818,9.79116E+12,3810,나무옆의자,김호연 지음,"14,000","12,600","1,400",10%,700점,20210420,75781
7,국내도서,달콩이네 떡집,8949162121,9.78895E+12,74800,비룡소,"김리리 지음, 김이랑 그림","11,000","9,900","1,100",10%,550점,20211202,36740
8,국내도서,눈아이,8936455737,9.78894E+12,77810,창비,안녕달 지음,"15,000","13,500","1,500",10%,750점,20211130,35598
9,국내도서,전지적 독자 시점 Part 1 : 제4의 벽 에디션 세트 - 전8권,8934967579,9.78893E+12,,비채,싱숑 지음,"128,000","115,200","12,800",10%,"6,400점",20220120,19370
10,국내도서,귀멸의 칼날 외전,K742835925,9.79113E+12,,학산문화사(만화),"고토게 코요하루, 히라노 료지 지음","6,000","5,400",600,10%,300점,20211213,24366
11,국내도서,"굿바이, 이재명",8991622860,9.78899E+12,3300,지우출판,장영하 지음,"15,000","13,500","1,500",10%,750점,20211224,32054
12,국내도서,달러구트 꿈 백화점 (100만부 기념 합본호 기프트 에디션),K542835111,9.79117E+12,3810,팩토리나인,이미예 지음,"24,000","21,600","2,400",10%,"1,200점",20211215,30055
13,국내도서,마법천자문 52,8950997711,9.78895E+12,77720,아울북,"유대영 지음, 홍거북 그림, 김창환 감수","14,000","12,600","1,400",10%,700점,20211220,22409
14,국내도서,달러구트 꿈 백화점 2,K962733015,9.79117E+12,3810,팩토리나인,이미예 지음,"13,800","12,420","1,380",10%,690점,20210727,59846
