순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,국내도서,조국의 시간,8935668664,9.78894E+12,3340,한길사,조국 지음,"17,000","15,300","1,700",10%,850점,20210531,40290
2,국내도서,주술회전 15,K582731589,9.79114E+12,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 이정운 옮김","5,000","4,500",500,10%,250점,20210525,13471
3,국내도서,미드나잇 라이브러리,K962730610,9.79119E+12,3840,인플루엔셜(주),"매트 헤이그 지음, 노진선 옮김","15,800","14,220","1,580",10%,790점,20210428,49150
4,국내도서,소설 주술회전 1,K502731589,9.79114E+12,,서울미디어코믹스(서울문화사),"아쿠타미 게게 지음, 유유리 옮김","7,800","7,020",780,10%,390점,20210525,7707
5,국내도서,매매의 기술,K652731246,9.79119E+12,3320,포레스트북스,박병창 지음,"18,000","16,200","1,800",10%,900점,20210514,16059
6,국내도서,완전한 행복,K432732398,9.79117E+12,3810,은행나무,정유정 지음,"15,800","14,220","1,580",10%,790점,20210608,39044
7,국내도서,소크라테스 익스프레스,K822730528,9.79119E+12,3100,어크로스,"에릭 와이너 지음, 김하현 옮김","18,000","16,200","1,800",10%,900점,20210428,68043
8,국내도서,2021 제12회 젊은작가상 수상작품집,8954678408,9.78895E+12,3810,문학동네,전하영 외 지음,"14,000","12,600","1,400",10%,700점,20210407,22232
9,국내도서,호랑이를 덫에 가두면,K152730414,9.79119E+12,44840,돌베개,"태 켈러 지음, 강나은 옮김","13,800","12,420","1,380",10%,690점,20210426,17951
10,국내도서,어린이라는 세계 (리커버),K242730307,9.79116E+12,3810,사계절,김소영 지음,"15,000","13,500","1,500",10%,750점,20201116,77253
11,국내도서,질서 너머,8901249596,9.7889E+12,3180,웅진지식하우스,"조던 B. 피터슨 지음, 김한영 옮김","17,800","16,020","1,780",10%,890점,20210323,20752
12,국내도서,월든 (50만 부 출간 기념 특별 한정판),K712731482,9.79119E+12,3840,은행나무,"헨리 데이비드 소로우 지음, 강승영 옮김","13,000","11,700","1,300",10%,650점,20210503,36730
