키워드,점수,연도,월,기사 수,데이터 출처,기사 수 퍼센트
부의,100,2020,1,1580,서점,0.81
투자,91,2020,1,47500,서점,24.48
에듀윌,86,2020,1,598,서점,0.31
생각,84,2020,1,68300,서점,35.21
사람,78,2020,1,93400,서점,48.14
기본,76,2020,1,20700,서점,10.67
부자,74,2020,1,9340,서점,4.81
부동산,73,2020,1,91700,서점,47.27
사회,70,2020,1,191000,서점,98.45
직업,68,2020,1,26500,서점,13.66
에듀윌,100,2020,2,319,서점,0.32
부동산,96,2020,2,43300,서점,43.96
부의,81,2020,2,716,서점,0.73
투자,70,2020,2,25300,서점,25.69
기본,70,2020,2,11400,서점,11.57
모의고사,69,2020,2,870,서점,0.88
경제,65,2020,2,97400,서점,98.88
실전,61,2020,2,1720,서점,1.75
최신,60,2020,2,54400,서점,55.23
평가,56,2020,2,20800,서점,21.12
투자,100,2020,3,50500,서점,26.58
경제학,75,2020,3,1480,서점,0.78
회계,68,2020,3,5710,서점,3.01
부동산,61,2020,3,90100,서점,47.42
주식,59,2020,3,16800,서점,8.84
인생,54,2020,3,26200,서점,13.79
경제,52,2020,3,190000,서점,100.0
투자,100,2020,4,56400,서점,27.38
주식,56,2020,4,18100,서점,8.79
모의고사,54,2020,4,1810,서점,0.88
투자,100,2020,5,27200,서점,24.29
부동산,50,2020,5,50000,서점,44.64
투자,100,2020,6,63000,서점,27.16
주식,67,2020,6,20100,서점,8.66
부자,57,2020,6,10800,서점,4.66
주식,100,2020,7,21300,서점,8.8
투자,86,2020,7,60700,서점,25.08
부자,67,2020,7,10600,서점,4.38
주식,100,2020,8,20300,서점,8.68
투자,98,2020,8,62300,서점,26.62
주식,100,2020,9,10100,서점,8.56
투자,88,2020,9,30300,서점,25.68
모의고사,69,2020,9,1050,서점,0.89
봉투,67,2020,9,7750,서점,6.57
하반기,59,2020,9,9670,서점,8.19
주식,100,2020,10,21200,서점,8.58
모의고사,98,2020,10,2040,서점,0.83
투자,96,2020,10,69300,서점,28.06
봉투,86,2020,10,15700,서점,6.36
하반기,69,2020,10,20000,서점,8.1
해커스,65,2020,10,101,서점,0.04
직무,64,2020,10,8030,서점,3.25
최신,63,2020,10,139000,서점,56.28
부의,59,2020,10,1980,서점,0.8
비밀,56,2020,10,29500,서점,11.94
주식,100,2020,11,25200,서점,10.41
투자,68,2020,11,68200,서점,28.18
에디,65,2020,11,301,서점,0.12
커버,63,2020,11,14900,서점,6.16
트렌드,62,2020,11,38500,서점,15.91
주식,100,2020,12,24700,서점,10.08
투자,83,2020,12,74200,서점,30.29
주식,100,2021,1,10900,서점,9.24
투자,98,2021,1,31300,서점,26.53
투자,100,2021,2,77300,서점,30.2
주식,87,2021,2,23000,서점,8.98
투자,100,2021,3,82700,서점,31.44
주식,96,2021,3,25700,서점,9.77
경제학,73,2021,3,1870,서점,0.71
회계,63,2021,3,7270,서점,2.76
부자,54,2021,3,12800,서점,4.87
주식,100,2021,4,13400,서점,9.78
투자,84,2021,4,41800,서점,30.51
모의고사,59,2021,4,831,서점,0.61
봉투,53,2021,4,9380,서점,6.85
주식,100,2021,5,28000,서점,10.04
투자,88,2021,5,82200,서점,29.46
주식,100,2021,6,29500,서점,10.03
투자,98,2021,6,89200,서점,30.34
공부,52,2021,6,13600,서점,4.63
부의,50,2021,6,2200,서점,0.75
주식,100,2021,7,25300,서점,8.46
투자,97,2021,7,90900,서점,30.4
공부,51,2021,7,14700,서점,4.92
부의,51,2021,7,2230,서점,0.75
투자,100,2021,8,40400,서점,27.86
주식,82,2021,8,15400,서점,10.62
부자,50,2021,8,6140,서점,4.23
투자,100,2021,9,84700,서점,29.31
주식,91,2021,9,26800,서점,9.27
모의고사,56,2021,9,1570,서점,0.54
회계,50,2021,9,7020,서점,2.43
투자,100,2021,10,87100,서점,29.63
주식,63,2021,10,28100,서점,9.56
투자,100,2021,11,98000,서점,32.13
주식,79,2021,11,27000,서점,8.85
부의,63,2021,11,2450,서점,0.8
트렌드,52,2021,11,43800,서점,14.36
투자,100,2021,12,47600,서점,31.32
트렌드,63,2021,12,21300,서점,14.01
부동산,54,2021,12,65400,서점,43.03
부의,51,2021,12,1320,서점,0.87
투자,100,2022,1,96500,서점,30.35
주식,91,2022,1,28500,서점,8.96
부동산,56,2022,1,153000,서점,48.11
부자,52,2022,1,14100,서점,4.43
