키워드,점수,연도,월,기사 수,데이터 출처,기사 수 퍼센트
경제,56,2021,12,149000,도서관,98.03
부자,53,2021,12,6880,도서관,4.53
투자,100,2022,1,96500,도서관,30.35
주식,84,2022,1,28500,도서관,8.96
경제,60,2022,1,322000,도서관,101.26
부자,53,2022,1,14100,도서관,4.43
투자,100,2022,2,105000,도서관,30.09
주식,79,2022,2,33600,도서관,9.63
경제,74,2022,2,347000,도서관,99.43
부자,56,2022,2,17700,도서관,5.07
투자,100,2022,3,55600,도서관,30.22
경제,82,2022,3,182000,도서관,98.91
주식,72,2022,3,15300,도서관,8.32
부자,64,2022,3,8770,도서관,4.77
부의,50,2022,3,1420,도서관,0.77
투자,100,2022,4,113000,도서관,2.44
경제,73,2022,4,4650000,도서관,100.43
부자,64,2022,4,17400,도서관,0.38
주식,57,2022,4,35400,도서관,0.76
투자,100,2022,5,112000,도서관,2.51
부자,70,2022,5,21900,도서관,0.49
경제,68,2022,5,4470000,도서관,100.0
부동산,63,2022,5,175000,도서관,3.91
주식,62,2022,5,32700,도서관,0.73
부의,57,2022,5,3120,도서관,0.07
투자,100,2022,6,132000,도서관,2.78
부동산,81,2022,6,160000,도서관,3.38
부자,72,2022,6,22400,도서관,0.47
경제,70,2022,6,4760000,도서관,100.42
부의,60,2022,6,3640,도서관,0.08
투자,100,2022,7,61500,도서관,30.75
부동산,93,2022,7,77900,도서관,38.95
부자,87,2022,7,12300,도서관,6.15
경제,84,2022,7,196000,도서관,98.0
부의,71,2022,7,1830,도서관,0.92
인생,57,2022,7,30300,도서관,15.15
가지,57,2022,7,54000,도서관,27.0
흐름,50,2022,7,11100,도서관,5.55
부자,100,2022,8,22800,도서관,0.46
투자,92,2022,8,126000,도서관,2.55
부동산,90,2022,8,154000,도서관,3.12
경제,89,2022,8,4990000,도서관,101.01
부의,65,2022,8,3940,도서관,0.08
인생,54,2022,8,60900,도서관,1.23
이야기,51,2022,8,172000,도서관,3.48
부장,51,2022,8,22000,도서관,0.45
대기업,51,2022,8,22700,도서관,0.46
자가,51,2022,8,23000,도서관,0.47
투자,100,2022,9,140000,도서관,2.72
부동산,99,2022,9,169000,도서관,3.29
경제,89,2022,9,5180000,도서관,100.78
부자,79,2022,9,22200,도서관,0.43
부의,71,2022,9,3780,도서관,0.07
이야기,50,2022,9,191000,도서관,3.72
투자,100,2022,10,163000,도서관,3.04
부동산,100,2022,10,183000,도서관,3.41
경제,97,2022,10,5310000,도서관,98.88
부자,93,2022,10,24700,도서관,0.46
부의,69,2022,10,4710,도서관,0.09
부자,100,2022,11,11700,도서관,5.32
경제,96,2022,11,216000,도서관,98.18
투자,86,2022,11,62700,도서관,28.5
부동산,74,2022,11,82300,도서관,37.41
부의,59,2022,11,2190,도서관,1.0
인생,50,2022,11,39400,도서관,17.91
부자,100,2022,12,26600,도서관,0.47
경제,90,2022,12,5690000,도서관,99.65
투자,76,2022,12,167000,도서관,2.92
부동산,63,2022,12,194000,도서관,3.4
부의,57,2022,12,4710,도서관,0.08
인생,50,2022,12,85700,도서관,1.5
